Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
91,Gabon,"2,233,297","8,409",,53,,"6,959",,"1,397",2,"3,765",24,"109,360","48,968",5.0,26.08.20,22:59
95,Haiti,"11,423,318","8,122",+10,197,+1,"5,677",+53,"2,248",,711,17,"22,742","1,991",1.0,26.08.20,22:59
96,Finland,"5,542,050","8,002",+21,335,,"7,200",+100,467,1,"1,444",60,"596,091","107,558",4.0,26.08.20,22:59
98,Luxembourg,"627,481","7,838",,124,,"7,114",,600,1,"12,491",198,"733,651","1,169,200",4.0,26.08.20,22:59
100,Maldives,"541,943","7,225",+178,28,,"4,561",+122,"2,636",12,"13,332",52,"106,909","197,270",3.0,26.08.20,22:59
99,Mauritania,"4,667,094","6,960",,158,,"6,321",,481,3,"1,491",34,"69,554","14,903",5.0,26.08.20,22:59
102,Namibia,"2,547,656","6,431",+271,59,+2,"2,734",+2,"3,638",10,"2,524",23,"55,054","21,610",5.0,26.08.20,22:59
101,Zimbabwe,"14,895,040","6,196",,166,,"4,961",,"1,069",,416,11,"149,748","10,054",5.0,26.08.20,22:59
103,Malawi,"19,200,585","5,423",,170,,"3,066",,"2,187",4,282,9,"42,902","2,234",5.0,26.08.20,22:59
104,Djibouti,"990,133","5,383",,60,,"5,297",+15,26,,"5,437",61,"66,035","66,693",5.0,26.08.20,22:59
105,Hungary,"9,656,517","5,288",+73,614,,"3,734",+18,940,7,548,64,"405,067","41,948",4.0,26.08.20,22:59
106,Equatorial Guinea,"1,409,407","4,926",,83,,"3,795",,"1,048",2,"3,495",59,"50,481","35,817",5.0,26.08.20,22:59
107,Hong Kong,"7,506,195","4,736",+25,78,+1,"4,161",+53,497,27,631,10,"780,415","103,969",3.0,26.08.20,22:59
108,CAR,"4,842,117","4,691",,61,,"1,773",,"2,857",2,969,13,"30,944","6,391",5.0,26.08.20,22:59
110,Nicaragua,"6,636,353","4,494",,137,,"2,913",,"1,444",,677,21,,,1.0,26.08.20,22:59
109,Montenegro,"628,078","4,444",,87,,"3,480",,877,,"7,076",139,"46,380","73,844",4.0,26.08.20,22:59
111,Eswatini,"1,161,971","4,327",,86,,"2,959",,"1,282",11,"3,724",74,"29,019","24,974",5.0,26.08.20,22:59
112,Congo,"5,537,578","3,979",,78,,"1,742",,"2,159",,719,14,,,5.0,26.08.20,22:59
113,Cuba,"11,325,541","3,759",+15,92,+1,"3,159",+57,508,3,332,8,"369,889","32,660",1.0,26.08.20,22:59
114,Suriname,"587,426","3,698",,61,,"2,818",,819,20,"6,295",104,"7,186","12,233",2.0,26.08.20,22:59
118,Mozambique,"31,379,596","3,590",+82,21,,"1,927",+118,"1,642",,114,0.7,"90,566","2,886",5.0,26.08.20,22:59
115,Cabo Verde,"556,894","3,568",,37,,"2,673",,858,,"6,407",66,"76,576","137,506",5.0,26.08.20,22:59
122,Rwanda,"12,998,264","3,537",,15,,"1,806",,"1,716",,272,1,"378,014","29,082",5.0,26.08.20,22:59
117,Slovakia,"5,460,052","3,536",+84,33,,"2,192",+25,"1,311",10,648,6,"319,944","58,597",4.0,26.08.20,22:59
116,Thailand,"69,826,961","3,403",+1,58,,"3,237",+8,108,1,49,0.8,"749,213","10,730",3.0,26.08.20,22:59
119,Somalia,"15,956,119","3,275",,95,,"2,443",,737,,205,6,,,5.0,26.08.20,22:59
120,Mayotte,"273,761","3,237",,39,,"2,964",,234,1,"11,824",142,"13,000","47,487",5.0,26.08.20,22:59
123,Tunisia,"11,837,216","3,069",,71,,"1,456",,"1,542",8,259,6,"129,104","10,907",5.0,26.08.20,22:59
121,Sri Lanka,"21,427,012","2,984",+13,12,,"2,819",+3,153,1,139,0.6,"213,462","9,962",3.0,26.08.20,22:59
125,Lithuania,"2,716,164","2,726",+32,85,,"1,794",+9,847,5,"1,004",31,"618,405","227,676",4.0,26.08.20,22:59
126,Slovenia,"2,078,982","2,722",+36,133,,"2,170",+31,419,,"1,309",64,"153,502","73,835",4.0,26.08.20,22:59
124,Mali,"20,333,304","2,717",+4,126,+1,"2,052",+11,539,,134,6,"35,336","1,738",5.0,26.08.20,22:59
128,Gambia,"2,426,292","2,708",+22,93,+3,611,+10,"2,004",,"1,116",38,"11,925","4,915",5.0,26.08.20,22:59
130,Uganda,"45,943,204","2,524",+98,26,+1,"1,268",+1,"1,230",,55,0.6,"359,289","7,820",5.0,26.08.20,22:59
127,South Sudan,"11,213,382","2,510",+3,47,,"1,290",,"1,173",,224,4,"12,044","1,074",5.0,26.08.20,22:59
132,Syria,"17,561,734","2,365",,95,,533,,"1,737",,135,5,,,3.0,26.08.20,22:59
129,Estonia,"1,326,673","2,311",+17,64,,"2,054",+16,193,,"1,742",48,"143,498","108,164",4.0,26.08.20,22:59
133,Angola,"33,009,623","2,283",,102,,977,,"1,204",24,69,3,"64,747","1,961",5.0,26.08.20,22:59
131,Guinea-Bissau,"1,974,699","2,149",,33,,"1,015",,"1,101",5,"1,088",17,"1,500",760,5.0,26.08.20,22:59
134,Benin,"12,168,516","2,115",,39,,"1,705",,371,,174,3,"107,057","8,798",5.0,26.08.20,22:59
135,Iceland,"341,580","2,082",+5,10,,"1,957",+4,115,,"6,095",29,"205,935","602,890",4.0,26.08.20,22:59
136,Sierra Leone,"8,000,606","2,003",+2,69,,"1,577",+8,357,,250,9,,,5.0,26.08.20,22:59
137,Yemen,"29,921,077","1,924",,557,,"1,091",,276,,64,19,120,4,3.0,26.08.20,22:59
138,Bahamas,"393,811","1,813",+15,48,+2,634,,"1,131",83,"4,604",122,"10,192","25,880",1.0,26.08.20,22:59
141,Jordan,"10,218,392","1,756",+40,15,+1,"1,355",+11,386,3,172,1,"777,222","76,061",3.0,26.08.20,22:59
140,Malta,"441,724","1,751",+46,10,,"1,077",+48,664,,"3,964",23,"179,703","406,822",4.0,26.08.20,22:59
145,Jamaica,"2,963,147","1,732",+120,19,+3,840,+21,873,3,585,6,"54,658","18,446",1.0,26.08.20,22:59
139,New Zealand,"5,002,100","1,695",+5,22,,"1,539",,134,10,339,4,"710,063","141,953",,26.08.20,22:59
142,Aruba,"106,835","1,670",,8,,565,,"1,097",7,"15,632",75,"19,604","183,498",1.0,26.08.20,22:59
148,Botswana,"2,358,545","1,562",,3,,199,,"1,360",1,662,1,"106,284","45,063",5.0,26.08.20,22:59
143,Uruguay,"3,475,579","1,536",,43,,"1,309",,184,4,442,12,"163,129","46,936",2.0,26.08.20,22:59
144,Cyprus,"1,208,694","1,484",+10,20,,935,,529,5,"1,228",17,"286,736","237,228",3.0,26.08.20,22:59
146,Georgia,"3,987,972","1,436",+7,19,,"1,150",,267,,360,5,"341,166","85,549",3.0,26.08.20,22:59
158,Trinidad and Tobago,"1,400,185","1,384",+132,15,,192,+14,"1,177",6,988,11,"20,756","14,824",1.0,26.08.20,22:59
153,Réunion,"896,283","1,372",+80,6,,692,,674,3,"1,531",7,"35,419","39,518",5.0,26.08.20,22:59
147,Latvia,"1,882,861","1,360",+18,33,,"1,135",,192,,722,18,"242,823","128,965",4.0,26.08.20,22:59
149,Burkina Faso,"20,984,718","1,352",+14,55,,"1,058",+8,239,,64,3,,,5.0,26.08.20,22:59
151,Togo,"8,306,682","1,309",,27,,919,,363,2,158,3,"60,343","7,264",5.0,26.08.20,22:59
150,Liberia,"5,074,806","1,298",+3,82,,832,+11,384,,256,16,,,5.0,26.08.20,22:59
152,Niger,"24,327,199","1,173",,69,,"1,084",,20,,48,3,"9,052",372,5.0,26.08.20,22:59
154,Andorra,"77,284","1,098",+38,53,,893,+16,152,3,"14,207",686,"137,457","1,778,596",4.0,26.08.20,22:59
159,Guyana,"787,133","1,060",,31,,523,,506,8,"1,347",39,"7,373","9,367",2.0,26.08.20,22:59
156,Lesotho,"2,144,823","1,049",,30,,472,,547,,489,14,"13,330","6,215",5.0,26.08.20,22:59
155,Vietnam,"97,470,889","1,034",+5,29,+2,632,+40,373,,11,0.3,"1,009,145","10,353",3.0,26.08.20,22:59
157,Chad,"16,492,533",995,,77,,871,,47,,60,5,,,5.0,26.08.20,22:59
161,Guadeloupe,"400,135",935,,15,,289,,631,6,"2,337",37,"27,868","69,646",1.0,26.08.20,22:59
160,Sao Tome and Principe,"219,755",892,,15,,833,,44,,"4,059",68,"3,546","16,136",5.0,26.08.20,22:59
164,Belize,"398,687",730,,10,,48,,672,8,"1,831",25,"6,768","16,976",1.0,26.08.20,22:59
162,Diamond Princess,,712,,13,,651,,48,4,,,,,,26.08.20,22:59
163,San Marino,"33,942",710,,42,,658,,10,,"20,918","1,237","6,678","196,747",4.0,26.08.20,22:59
165,Channel Islands,"174,105",623,+3,48,,545,,30,,"3,578",276,"68,985","396,226",4.0,26.08.20,22:59
168,Myanmar,"54,465,293",580,+76,6,,345,+4,229,,11,0.1,"149,861","2,751",3.0,26.08.20,22:59
166,Tanzania,"59,975,062",509,,21,,183,,305,7,8,0.4,,,5.0,26.08.20,22:59
167,Taiwan,"23,823,430",487,,7,,462,+5,18,,20,0.3,"86,419","3,627",3.0,26.08.20,22:59
177,Martinique,"375,220",464,,16,,98,,350,2,"1,237",43,"12,227","32,586",1.0,26.08.20,22:59
172,Turks and Caicos,"38,795",431,+48,2,,102,,327,3,"11,110",52,"2,160","55,677",1.0,26.08.20,22:59
169,Burundi,"11,940,680",430,,1,,345,,84,,36,0.08,"22,093","1,850",5.0,26.08.20,22:59
174,Papua New Guinea,"8,971,820",419,,4,,232,,183,,47,0.4,"14,676","1,636",,26.08.20,22:59
173,Sint Maarten,"42,949",418,+10,17,,148,+1,253,8,"9,732",396,"2,205","51,340",1.0,26.08.20,22:59
170,Comoros,"872,290",417,,7,,399,,11,,478,8,,,5.0,26.08.20,22:59
171,Faeroe Islands,"48,891",411,,,,357,+13,54,2,"8,406",,"89,790","1,836,534",4.0,26.08.20,22:59
179,French Polynesia,"281,156",372,,,,148,,224,2,"1,323",,"9,912","35,254",,26.08.20,22:59
175,Mauritius,"1,272,094",348,,10,,335,,3,,274,8,"205,285","161,376",5.0,26.08.20,22:59
176,Isle of Man,"85,102",336,,24,,312,,0,,"3,948",282,"9,722","114,239",4.0,26.08.20,22:59
178,Eritrea,"3,553,724",315,,,,276,,39,,89,,,,5.0,26.08.20,22:59
180,Mongolia,"3,286,087",300,+2,,,289,,11,1,91,,"51,103","15,551",3.0,26.08.20,22:59
181,Cambodia,"16,753,390",273,,,,264,+1,9,1,16,,"91,159","5,441",3.0,26.08.20,22:59
182,Gibraltar,"33,689",270,+14,,,203,,67,,"8,014",,"31,747","942,355",4.0,26.08.20,22:59
183,Cayman Islands,"65,838",205,,1,,202,,2,,"3,114",15,"34,688","526,869",1.0,26.08.20,22:59
184,Saint Martin,"38,763",198,,5,,52,,141,11,"5,108",129,"2,756","71,099",1.0,26.08.20,22:59
187,Bhutan,"772,884",173,+17,,,118,+1,55,,224,,"90,559","117,170",3.0,26.08.20,22:59
185,Bermuda,"62,242",168,,9,,151,,8,,"2,699",145,"40,157","645,175",1.0,26.08.20,22:59
186,Barbados,"287,429",164,,7,,132,,25,,571,24,"15,990","55,631",1.0,26.08.20,22:59
189,Brunei,"438,111",144,,3,,139,,2,,329,7,"49,856","113,798",3.0,26.08.20,22:59
190,Seychelles,"98,440",136,,,,127,,9,,"1,382",,,,5.0,26.08.20,22:59
188,Monaco,"39,284",121,,1,,85,,35,1,"3,080",25,"51,953","1,322,498",4.0,26.08.20,22:59
191,Liechtenstein,"38,145",102,,1,,94,,7,,"2,674",26,900,"23,594",4.0,26.08.20,22:59
192,Antigua and Barbuda,"98,052",94,,3,,89,,2,1,959,31,"1,775","18,103",1.0,26.08.20,22:59
193,St. Vincent Grenadines,"110,994",58,,,,57,,1,,523,,"3,214","28,957",1.0,26.08.20,22:59
195,Curaçao,"164,196",49,+2,1,,34,,14,,298,6,"1,080","6,578",1.0,26.08.20,22:59
194,Macao,"650,653",46,,,,46,,0,,71,,"4,071","6,257",3.0,26.08.20,22:59
196,Fiji,"897,432",28,,1,,23,,4,,31,1,"6,693","7,458",,26.08.20,22:59
202,British Virgin Islands,"30,262",26,,1,,8,,17,,859,33,"2,092","69,130",1.0,26.08.20,22:59
197,Saint Lucia,"183,756",26,,,,25,,1,,141,,"4,946","26,916",1.0,26.08.20,22:59
198,Timor-Leste,"1,322,118",26,,,,25,,1,,20,,"5,146","3,892",3.0,26.08.20,22:59
199,Grenada,"112,603",24,,,,24,,0,,213,,"6,252","55,522",1.0,26.08.20,22:59
200,New Caledonia,"285,912",23,,,,23,,0,,80,,"12,370","43,265",,26.08.20,22:59
201,Laos,"7,291,233",22,,,,21,,1,,3,,"37,450","5,136",3.0,26.08.20,22:59
203,Dominica,"72,014",20,,,,18,,2,,278,,"2,022","28,078",1.0,26.08.20,22:59
205,St. Barth,"9,882",17,,,,9,,8,,"1,720",,"2,075","209,978",1.0,26.08.20,22:59
204,Saint Kitts and Nevis,"53,256",17,,,,17,,0,,319,,"1,430","26,851",1.0,26.08.20,22:59
206,Greenland,"56,785",14,,,,14,,0,,247,,"6,591","116,069",1.0,26.08.20,22:59
207,Montserrat,"4,992",13,,1,,12,,0,,"2,604",200,61,"12,220",1.0,26.08.20,22:59
208,Caribbean Netherlands,"26,260",13,,,,7,,6,,495,,424,"16,146",1.0,26.08.20,22:59
209,Falkland Islands,"3,494",13,,,,13,,0,,"3,721",,"2,256","645,678",2.0,26.08.20,22:59
210,Vatican City,801,12,,,,12,,0,,"14,981",,,,4.0,26.08.20,22:59
211,Western Sahara,"599,447",10,,1,,8,,1,,17,2,,,5.0,26.08.20,22:59
212,MS Zaandam,,9,,2,,,,7,,,,,,,26.08.20,22:59
213,Saint Pierre Miquelon,"5,790",5,,,,1,,4,,864,,,,1.0,26.08.20,22:59
214,Anguilla,"15,023",3,,,,3,,0,,200,,662,"44,066",1.0,26.08.20,22:59
215,China,"1,439,323,776","84,996",+15,"4,634",,"80,015",+54,347,8,59,3,"90,410,000","62,814",3.0,26.08.20,22:59
