Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",scrap_date,scrap_time
1,North America,"7,360,471","+4,787","271,411",+280,"4,241,744","+4,611","2,847,316","19,988",01.09.20,12:16
2,South America,"6,318,385",+630,"202,579",+61,"4,928,156","+1,911","1,187,650","15,228",01.09.20,12:16
3,Asia,"7,100,734","+14,595","142,653",+171,"5,692,273","+7,850","1,265,808","18,827",01.09.20,12:16
4,Europe,"3,590,073","+8,103","207,928",+193,"2,081,355","+7,983","1,300,790","5,804",01.09.20,12:16
5,Africa,"1,257,316",,"29,862",,"987,398",,"240,056","1,270",01.09.20,12:16
6,Oceania,"28,654",+87,686,+5,"23,584",+166,"4,384",39,01.09.20,12:16
7,World,"25,656,354","+28,202","855,134",+710,"17,955,161","+22,521","6,846,059","61,160",01.09.20,12:16
