scrap_date,scrap_time,update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-10-06,23:01,,1,North America,9238107,34837,320110,726,6022011,31844.0,2895986,17588
2020-10-06,23:01,,3,Asia,11289320,107959,204824,1698,9588559,112436.0,1495937,20696
2020-10-06,23:01,,2,South America,8345479,8943,262873,218,7203505,2456.0,879101,17453
2020-10-06,23:01,,4,Europe,5519429,79108,226718,1046,2919686,20042.0,2373025,9645
2020-10-06,23:01,,5,Africa,1533002,5097,36782,85,1273156,4751.0,223064,1608
2020-10-06,23:01,,6,Oceania,31860,28,938,1,29033,,1889,13
2020-10-06,23:01,,7,World,35957918,235972,1052260,3774,27036601,171529.0,7869057,67007
