scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-16,20:00,160,Sao Tome and Principe,219644,885,,15,,815,,55,,4029,68,3261,14847,5.0
2020-08-16,20:00,153,Réunion,896108,816,,5,,657,,154,4,911,6,35419,39525,5.0
2020-08-16,20:00,162,Diamond Princess,,712,,13,,651,,48,4,,,,,
2020-08-16,20:00,163,San Marino,33940,699,,42,,657,,0,,20595,1237,6068,178786,4.0
2020-08-16,20:00,159,Guyana,787029,674,,22,,310,,342,7,856,28,5933,7538,2.0
2020-08-16,20:00,165,Channel Islands,174061,607,,47,,545,,15,,3487,270,52055,299062,4.0
2020-08-16,20:00,166,Tanzania,59928389,509,,21,,183,,305,7,8,0.4,,,5.0
2020-08-16,20:00,158,Trinidad and Tobago,1400061,497,,10,,139,,348,3,355,7,13398,9570,1.0
2020-08-16,20:00,167,Taiwan,23822255,484,2,7,,450,,27,,20,0.3,84446,3545,3.0
2020-08-16,20:00,164,Belize,398489,452,64,3,,35,,414,3,1134,8,5117,12841,1.0
2020-08-16,20:00,161,Guadeloupe,400133,446,,14,,289,,143,2,1115,35,22696,56721,1.0
2020-08-16,20:00,169,Burundi,11930962,413,1,1,,315,,97,,35,0.08,17306,1451,5.0
2020-08-16,20:00,170,Comoros,871783,405,2,7,,379,,19,,465,8,,,5.0
2020-08-16,20:00,168,Myanmar,54455344,374,,6,,324,,44,,7,0.1,134035,2461,3.0
2020-08-16,20:00,171,Faeroe Islands,48886,370,,,,225,,145,,7569,,70650,1445199,4.0
2020-08-16,20:00,175,Mauritius,1272036,346,,10,,334,,2,,272,8,205285,161383,5.0
2020-08-16,20:00,176,Isle of Man,85089,336,,24,,312,,0,,3949,282,9066,106547,4.0
2020-08-16,20:00,177,Martinique,375228,336,,16,,98,,222,2,895,43,12227,32586,1.0
2020-08-16,20:00,174,Papua New Guinea,8967183,323,52,3,,110,32,210,,36,0.3,13361,1490,
2020-08-16,20:00,173,Sint Maarten,42936,300,31,17,,107,5,176,3,6987,396,1672,38942,1.0
2020-08-16,20:00,172,Turks and Caicos,38781,298,24,2,,55,1,241,3,7684,52,1840,47446,1.0
2020-08-16,20:00,180,Mongolia,3284643,298,,,,276,4,22,1,91,,43785,13330,3.0
2020-08-16,20:00,178,Eritrea,3552382,285,,,,248,,37,,80,,,,5.0
2020-08-16,20:00,181,Cambodia,16747066,273,,,,238,9,35,1,16,,79860,4769,3.0
2020-08-16,20:00,182,Gibraltar,33690,215,6,,,190,,25,,6382,,27328,811161,4.0
2020-08-16,20:00,183,Cayman Islands,65817,203,,1,,202,,0,,3084,15,32468,493307,1.0
2020-08-16,20:00,179,French Polynesia,281111,166,,,,64,,102,1,591,,6525,23211,
2020-08-16,20:00,185,Bermuda,62248,162,,9,,147,,6,,2602,145,32415,520740,1.0
2020-08-16,20:00,186,Barbados,287420,150,,7,,121,,22,,522,24,14217,49464,1.0
2020-08-16,20:00,188,Monaco,39277,146,,4,,114,,28,4,3717,102,38209,972809,4.0
2020-08-16,20:00,189,Brunei,437996,142,,3,,138,,1,,324,7,43312,98887,3.0
2020-08-16,20:00,187,Bhutan,772651,138,5,,,102,,36,,179,,59440,76930,3.0
2020-08-16,20:00,190,Seychelles,98423,127,,,,126,,1,,1290,,,,5.0
2020-08-16,20:00,184,Saint Martin,38745,109,,4,,49,,56,1,2813,103,2321,59905,1.0
2020-08-16,20:00,192,Antigua and Barbuda,98030,93,,3,,83,,7,1,949,31,1780,18158,1.0
2020-08-16,20:00,191,Liechtenstein,38142,91,,1,,87,,3,,2386,26,900,23596,4.0
2020-08-16,20:00,193,St. Vincent Grenadines,110985,57,,,,55,,2,,514,,2649,23868,1.0
2020-08-16,20:00,194,Macao,650411,46,,,,46,,0,,71,,4071,6259,3.0
2020-08-16,20:00,195,Curaçao,164178,34,1,1,,31,,2,,207,6,1080,6578,1.0
2020-08-16,20:00,196,Fiji,897254,28,,1,,20,,7,,31,1,6693,7459,
2020-08-16,20:00,197,Saint Lucia,183733,25,,,,25,,0,,136,,4465,24302,1.0
2020-08-16,20:00,198,Timor-Leste,1321431,25,,,,24,,1,,19,,4238,3207,3.0
2020-08-16,20:00,199,Grenada,112589,24,,,,23,,1,,213,,6252,55529,1.0
2020-08-16,20:00,200,New Caledonia,285837,23,,,,22,,1,,80,,11265,39411,
2020-08-16,20:00,201,Laos,7288348,22,,,,19,,3,,3,,33538,4602,3.0
2020-08-16,20:00,203,Dominica,72009,18,,,,18,,0,,250,,1005,13957,1.0
