,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,USA,"5,530,028",+239,"172,608",+2,"2,904,130",,"2,453,290","17,186","16,695",521,"70,228,171","212,012","331,245,770",North America
1,Brazil,"3,317,832",,"107,297",,"2,404,272",,"806,263","8,318","15,595",504,"13,464,336","63,288","212,747,790",South America
2,India,"2,594,112","+4,904","50,122",+38,"1,862,937","+2,265","681,053","8,944","1,878",36,"29,309,703","21,213","1,381,678,359",Asia
3,Russia,"922,853","+4,969","15,685",+68,"732,968","+3,557","174,200","2,300","6,323",107,"32,500,000","222,691","145,942,457",Europe
4,South Africa,"583,653",,"11,677",,"466,941",,"105,035",539,"9,826",197,"3,378,029","56,869","59,399,953",Africa
5,Peru,"525,803",,"26,075",,"359,781",,"139,947","1,540","15,920",789,"2,738,229","82,907","33,027,616",South America
6,Mexico,"517,714","+6,345","56,543",+635,"351,372","+5,719","109,799","3,653","4,010",438,"1,171,007","9,071","129,099,449",North America
7,Colombia,"456,689",,"14,810",,"274,420",,"167,459","1,493","8,964",291,"2,143,097","42,063","50,949,591",South America
8,Chile,"383,902",,"10,395",,"356,951",,"16,556","1,207","20,061",543,"1,988,709","103,922","19,136,544",South America
9,Spain,"358,843",,"28,617",,,,,617,"7,675",612,"7,472,031","159,805","46,757,092",Europe
10,Iran,"343,203","+2,133","19,639",+147,"297,486","+1,856","26,078","3,881","4,080",233,"2,861,825","34,019","84,124,058",Asia
11,UK,"317,379",,"41,361",,,,,73,"4,672",609,"14,320,621","210,812","67,930,780",Europe
12,Saudi Arabia,"297,315",,"3,369",,"264,487",,"29,459","1,766","8,524",97,"4,202,076","120,475","34,879,260",Asia
13,Argentina,"289,100",,"5,637",,"205,697",,"77,766","1,716","6,389",125,"949,170","20,977","45,247,072",South America
14,Pakistan,"288,717",+670,"6,168",+6,"266,301",+677,"16,248",769,"1,304",28,"2,277,153","10,285","221,401,496",Asia
15,Bangladesh,"276,549","+2,024","3,657",+32,"158,950","+1,315","113,942",,"1,677",22,"1,351,666","8,197","164,891,717",Asia
16,Italy,"253,438",,"35,392",,"203,640",,"14,406",55,"4,192",585,"7,520,610","124,410","60,450,390",Europe
17,Turkey,"248,117",,"5,955",,"229,972",,"12,190",668,"2,938",71,"5,659,286","67,013","84,450,635",Asia
18,Germany,"224,478",,"9,290",,"202,900",,"12,288",224,"2,678",111,"9,265,361","110,542","83,817,831",Europe
19,France,"215,521",,"30,409",,"83,848",,"101,264",367,"3,301",466,"6,000,000","91,895","65,291,847",Europe
20,Iraq,"172,583",,"5,785",,"122,700",,"44,098",590,"4,279",143,"1,263,650","31,334","40,328,274",Asia
21,Philippines,"157,918",,"2,600",,"72,209",,"83,109",461,"1,439",24,"2,003,875","18,257","109,758,588",Asia
