scrap_date,scrap_time,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
2020-10-05,22:13,1,North America,9157928,33207,316528,498,5959965,29368,2881435,17472
2020-10-05,22:13,3,Asia,11179981,94052,203115,1611,9473441,104045,1503425,20734
2020-10-05,22:13,2,South America,8292547,4932,261599,163,7143636,1870,887312,17445
2020-10-05,22:13,4,Europe,5435613,59039,225672,520,2898019,14777,2311922,9448
2020-10-05,22:13,5,Africa,1526374,3446,36635,66,1266660,6269,223079,1636
2020-10-05,22:13,6,Oceania,31568,14,936,,28819,28,1813,18
2020-10-05,22:13,7,World,35624732,194690,1044500,2858,26771191,156357,7809041,66757
