,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,North America,"6,579,716","+18,937","247,676",+369,"3,592,208","+10,439","2,739,832","24,086",,
1,South America,"5,289,715","+6,725","176,416",+351,"3,827,422","+8,748","1,285,877","14,805",,
2,Asia,"5,723,906","+64,227","121,347","+1,201","4,453,388","+65,689","1,149,171","18,845",,
3,Europe,"3,179,431","+13,417","203,324",+204,"1,916,149","+5,595","1,059,958","5,218",,
4,Africa,"1,126,638","+3,496","25,738",+60,"840,165","+1,713","260,735","1,206",,
5,Oceania,"25,740",+290,447,+25,"16,286",+459,"9,007",57,,
7,World,"21,925,867","+107,092","774,963","+2,210","14,646,269","+92,643","6,504,635","64,221","2,813",99.4
