Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",scrap_date,scrap_time
1,North America,"7,016,056","+27,196","261,158","+1,114","3,961,894","+17,858","2,793,004","20,894",25.08.20,23:00
2,South America,"5,828,382","+12,136","191,122",+388,"4,401,625","+10,249","1,235,635","14,971",25.08.20,23:00
3,Asia,"6,474,168","+90,311","133,282","+1,567","5,159,676","+86,304","1,181,210","18,937",25.08.20,23:00
4,Europe,"3,406,524","+20,597","205,955",+386,"2,003,447","+8,497","1,197,122","5,562",25.08.20,23:00
5,Africa,"1,204,764","+4,803","28,153",+102,"927,580","+2,360","249,031","1,258",25.08.20,23:00
6,Oceania,"27,585",+162,552,+8,"21,568",+1,"5,465",53,25.08.20,23:00
7,World,"23,958,200","+155,205","820,237","+3,565","16,476,441","+125,269","6,661,522","61,679",25.08.20,23:00
