,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,North America,"6,249,979","+8,524","238,804",+954,"3,375,998","+5,921","2,635,177","24,549",,
1,South America,"4,887,320","+1,693","163,440",+49,"3,486,335",+930,"1,237,545","14,735",,
2,Asia,"5,221,611","+14,713","112,834",+263,"3,965,536","+11,374","1,143,241","18,873",,
3,Europe,"3,092,002","+7,997","206,983",+164,"1,857,591","+9,853","1,027,428","5,190",,
4,Africa,"1,069,132",+39,"23,912",,"761,685",+66,"283,535","1,207",,
5,Oceania,"24,073",+414,378,+21,"14,092",+6,"9,603",52,,
7,World,"20,544,838","+33,380","746,366","+1,451","13,461,888","+28,150","6,336,584","64,610","2,636",95.8
