,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,North America,"6,520,423","+7,240","246,720",+665,"3,559,405","+5,622","2,714,298","24,207",,
1,South America,"5,228,818","+1,196","174,840",+64,"3,755,101",+915,"1,298,877","14,863",,
2,Asia,"5,593,009","+15,506","118,990",+329,"4,282,593","+12,115","1,191,426","18,931",,
3,Europe,"3,157,905","+9,595","203,082",+151,"1,908,629","+4,599","1,046,194","5,180",,
4,Africa,"1,113,390",+247,"25,390",+7,"828,344",+310,"259,656","1,195",,
5,Oceania,"25,449",+317,422,+17,"15,381",+32,"9,646",51,,
7,World,"21,639,715","+34,101","769,459","+1,233","14,350,104","+23,593","6,520,152","64,431","2,776",98.7
