scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-10-13,23:01,1.0,USA,331552784,8072024,33698,220544,526,5208095,23480,2643385,14921,24346,665,120144982,362371,1.0
2020-10-13,23:01,3.0,India,1383826697,7236995,63430,110617,723,6298606,73814,827772,8944,5230,80,88945107,64275,3.0
2020-10-13,23:01,2.0,Brazil,212986866,5105033,1625,150772,63,4495269,,458992,8318,23969,708,17900000,84043,2.0
2020-10-13,23:01,4.0,Russia,145952340,1326178,13868,22966,244,1031785,7550,271427,2300,9086,157,51364269,351925,4.0
2020-10-13,23:01,9.0,Spain,46759952,925341,7118,33204,80,,,,1595,19789,710,14590713,312034,4.0
2020-10-13,23:01,8.0,Colombia,51035485,919083,,27985,,798396,,92702,2220,18009,548,4202181,82338,2.0
2020-10-13,23:01,12.0,Argentina,45312730,903730,,24186,,732582,,146962,4287,19944,534,2239514,49424,2.0
2020-10-13,23:01,6.0,Peru,33100421,851171,,33357,,748097,,69717,1182,25715,1008,4092566,123641,2.0
2020-10-13,23:01,7.0,Mexico,129313982,821045,3542,83945,164,597991,3811,139109,2379,6349,649,2093408,16189,1.0
2020-10-13,23:01,19.0,France,65314670,756472,12993,32942,117,102680,1852,620850,1642,11582,504,12679122,194124,4.0
2020-10-13,23:01,5.0,South Africa,59518442,694537,1178,18028,165,625574,915,50935,546,11669,303,4433952,74497,5.0
2020-10-13,23:01,13.0,UK,67987176,634920,17234,43018,143,,,,507,9339,633,28055923,412665,4.0
2020-10-13,23:01,11.0,Iran,84294420,508389,4108,29070,254,411840,2719,67479,4570,6031,345,4369622,51838,3.0
2020-10-13,23:01,10.0,Chile,19162518,484280,1392,13396,17,456499,2015,14385,778,25272,699,3754762,195943,2.0
2020-10-13,23:01,21.0,Iraq,40471654,409358,3921,9970,58,344208,4158,55180,501,10115,246,2528214,62469,3.0
2020-10-13,23:01,15.0,Bangladesh,165151528,381275,1537,5577,22,295873,1482,79825,,2309,34,2098037,12704,3.0
2020-10-13,23:01,17.0,Italy,60436357,365467,5901,36246,41,242028,1428,87193,514,6047,600,12762699,211176,4.0
2020-10-13,23:01,22.0,Philippines,109989739,344713,1990,6372,40,293383,327,44958,1758,3134,58,4196720,38156,3.0
2020-10-13,23:01,23.0,Indonesia,274337514,340622,3906,12027,92,263296,4777,65299,,1242,44,3852511,14043,3.0
2020-10-13,23:01,14.0,Saudi Arabia,34965237,340089,474,5087,19,326339,500,8663,839,9726,145,7109978,203344,3.0
2020-10-13,23:01,18.0,Turkey,84594371,338779,1632,8957,62,296972,1314,32850,1416,4005,106,11846342,140037,3.0
2020-10-13,23:01,20.0,Germany,83860174,335527,4433,9740,19,279100,2200,46687,618,4001,116,18129900,216192,4.0
2020-10-13,23:01,16.0,Pakistan,222082317,319848,531,6588,8,304609,424,8651,516,1440,30,3914818,17628,3.0
2020-10-13,23:01,30.0,Israel,9197590,296215,2184,2040,19,243395,4714,50780,802,32206,222,3992799,434114,3.0
2020-10-13,23:01,28.0,Ukraine,43658014,270587,5133,5122,107,116562,2152,148903,177,6198,117,2602635,59614,4.0
2020-10-13,23:01,42.0,Netherlands,17145676,188876,7378,6631,35,,,,297,11016,387,2872319,167524,4.0
2020-10-13,23:01,24.0,Canada,37835533,185371,2532,9645,18,156447,2189,19279,154,4899,255,8191592,216505,1.0
2020-10-13,23:01,36.0,Belgium,11603951,165880,3622,10211,20,20324,52,135345,267,14295,880,3735582,321923,4.0
2020-10-13,23:01,38.0,Romania,19200659,160461,3109,5535,68,120515,1603,34411,651,8357,288,2709306,141105,4.0
2020-10-13,23:01,49.0,Morocco,37033425,156946,3185,2685,49,131462,1964,22799,535,4238,73,2922011,78902,5.0
2020-10-13,23:01,27.0,Ecuador,17717896,147315,,12218,,128134,,6963,360,8314,690,467328,26376,2.0
2020-10-13,23:01,26.0,Bolivia,11717612,138695,121,8326,18,101523,420,28846,71,11836,711,315368,26914,2.0
2020-10-13,23:01,43.0,Poland,37834743,135278,5068,3101,63,82004,803,50173,421,3575,82,3726959,98506,4.0
2020-10-13,23:01,25.0,Qatar,2807805,128405,214,220,,125373,197,2812,56,45731,78,843565,300436,3.0
2020-10-13,23:01,70.0,Czechia,10714645,125328,3907,1097,46,58417,217,65814,467,11697,102,1625524,151710,4.0
2020-10-13,23:01,34.0,Panama,4333725,120802,,2502,,96675,,21625,121,27875,577,548807,126636,1.0
2020-10-13,23:01,32.0,Dominican Republic,10878547,119008,165,2183,4,94941,409,21884,158,10940,201,523637,48135,1.0
2020-10-13,23:01,64.0,Nepal,29282543,115358,3556,663,18,78780,1503,35915,,3939,23,1207091,41222,3.0
2020-10-13,23:01,37.0,Kuwait,4288226,112737,844,672,8,104508,706,7557,143,26290,157,796760,185802,3.0
2020-10-13,23:01,29.0,Kazakhstan,18839771,108901,70,1746,,104203,162,2952,221,5780,93,3045439,161649,3.0
2020-10-13,23:01,41.0,UAE,9923949,108608,1315,448,2,100007,1452,8153,,10944,45,11113555,1119872,3.0
2020-10-13,23:01,35.0,Oman,5142297,107213,638,1053,7,93557,335,12603,210,20849,205,376700,73255,3.0
2020-10-13,23:01,31.0,Egypt,102870387,104648,,6062,,97743,,843,41,1017,59,135000,1312,5.0
2020-10-13,23:01,33.0,Sweden,10117104,100654,,5899,6,,,,25,9949,583,1789328,176862,4.0
2020-10-13,23:01,40.0,Guatemala,18007652,98380,554,3410,23,87744,728,7226,5,5463,189,368058,20439,1.0
2020-10-13,23:01,44.0,Japan,126365294,89673,326,1634,5,82621,508,5418,148,710,13,2331011,18447,3.0
2020-10-13,23:01,61.0,Costa Rica,5107237,89223,,1108,,53247,,34868,185,17470,217,262281,51355,1.0
2020-10-13,23:01,46.0,Portugal,10188174,89121,1208,2110,16,54047,549,32964,132,8747,207,2852722,280003,4.0
2020-10-13,23:01,56.0,Ethiopia,115746603,85718,582,1305,4,39307,403,45106,237,741,11,1362974,11775,5.0
2020-10-13,23:01,39.0,Belarus,9448434,84524,526,906,5,77797,374,5821,,8946,96,2095917,221827,4.0
2020-10-13,23:01,47.0,Honduras,9948563,84413,332,2521,9,32214,202,49678,34,8485,253,198841,19987,1.0
2020-10-13,23:01,57.0,Venezuela,28412814,83756,,704,,75400,,7652,186,2948,25,1996103,70254,2.0
2020-10-13,23:01,50.0,Bahrain,1717558,75948,,284,4,71687,,3977,57,44219,165,1557638,906891,3.0
2020-10-13,23:01,55.0,Switzerland,8672522,65881,1445,2102,3,49800,300,13979,38,7597,242,1516021,174807,4.0
2020-10-13,23:01,62.0,Moldova,4031274,63275,657,1495,17,45102,374,16678,781,15696,371,318281,78953,4.0
2020-10-13,23:01,58.0,Uzbekistan,33604858,61642,323,511,2,58613,307,2518,252,1834,15,1377915,41003,3.0
2020-10-13,23:01,48.0,Nigeria,207544416,60430,,1115,,51943,,7372,7,291,5,554006,2669,5.0
2020-10-13,23:01,45.0,Singapore,5863343,57884,4,28,,57740,12,116,,9872,5,3290291,561163,3.0
2020-10-13,23:01,53.0,Armenia,2964822,57566,745,1032,6,46318,427,10216,,19416,348,329277,111061,3.0
2020-10-13,23:01,67.0,Austria,9020966,57326,1028,861,6,44949,884,11516,107,6355,95,1822931,202077,4.0
2020-10-13,23:01,83.0,Lebanon,6816652,55869,1245,479,13,24581,640,30809,190,8196,70,999515,146628,3.0
2020-10-13,23:01,54.0,Algeria,44071222,53225,,1809,,37382,,14034,25,1208,41,,,5.0
2020-10-13,23:01,80.0,Paraguay,7157126,50344,,1096,,32751,,16497,146,7034,153,311326,43499,2.0
2020-10-13,23:01,52.0,Kyrgyzstan,6554201,49871,343,1092,2,44712,190,4067,24,7609,167,276522,42190,3.0
2020-10-13,23:01,51.0,Ghana,31252458,47097,67,308,,46452,28,337,12,1507,10,500351,16010,5.0
2020-10-13,23:01,71.0,Palestine,5134106,45200,516,391,4,38841,613,5968,,8804,76,458400,89285,3.0
2020-10-13,23:01,85.0,Libya,6897460,44985,1164,656,12,25007,541,19322,,6522,95,255149,36992,5.0
2020-10-13,23:01,66.0,Ireland,4953293,44159,808,1830,3,23364,,18965,32,8915,369,1356503,273859,4.0
2020-10-13,23:01,60.0,Azerbaijan,10164956,42381,277,612,3,39468,64,2301,,4169,60,1187136,116787,3.0
2020-10-13,23:01,63.0,Kenya,54098484,41937,318,787,10,31340,,9810,,775,15,593199,10965,5.0
2020-10-13,23:01,59.0,Afghanistan,39170328,39928,58,1480,1,33308,190,5140,93,1019,38,115402,2946,3.0
2020-10-13,23:01,105.0,Hungary,9653313,39862,1025,996,28,11753,716,27113,160,4129,103,841220,87143,4.0
2020-10-13,23:01,65.0,Serbia,8727252,35006,152,767,2,31536,,2703,22,4011,88,1206976,138300,4.0
2020-10-13,23:01,76.0,Denmark,5798003,33101,290,674,3,27225,484,5202,19,5709,116,4423310,762902,4.0
2020-10-13,23:01,123.0,Tunisia,11853425,32556,,478,,5032,,27046,138,2747,40,276002,23285,5.0
2020-10-13,23:01,73.0,Bosnia and Herzegovina,3274934,31173,336,947,11,23777,190,6449,,9519,289,264777,80850,4.0
2020-10-13,23:01,69.0,El Salvador,6495492,30480,145,899,5,25857,212,3724,27,4692,138,427709,65847,1.0
2020-10-13,23:01,168.0,Myanmar,54513051,30437,1123,693,29,11769,1509,17975,,558,13,441926,8107,3.0
2020-10-13,23:01,141.0,Jordan,10231666,28127,2054,225,18,6361,142,21541,55,2749,22,1464941,143177,3.0
2020-10-13,23:01,68.0,Australia,25583007,27316,30,899,1,25037,24,1380,1,1068,35,8061952,315129,6.0
2020-10-13,23:01,77.0,Bulgaria,6933334,24989,,915,,15975,,8099,65,3604,132,577324,83268,4.0
2020-10-13,23:01,74.0,S. Korea,51281783,24805,102,434,1,22863,134,1508,91,484,8,2428771,47361,3.0
2020-10-13,23:01,92.0,Greece,10408399,23060,408,462,6,9989,,12609,89,2216,44,1449231,139237,4.0
