,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,USA,"5,120,955","+25,431","164,577",+483,"2,620,147","+3,180","2,336,231","18,038","15,462",497,"64,096,129","193,525","331,203,424",North America
1,Brazil,"2,988,796","+21,732","100,240",+538,"2,068,394",,"820,162","8,318","14,051",471,"13,206,188","62,084","212,714,814",South America
2,India,"2,152,020","+65,156","43,453",+875,"1,479,804","+52,135","628,763","8,944","1,558",31,"23,387,171","16,930","1,381,382,037",Asia
3,Russia,"882,347","+5,212","14,854",+129,"690,207","+6,615","177,286","2,300","6,046",102,"30,038,123","205,824","145,941,094",Europe
4,South Africa,"545,476",,"9,909",,"394,759",,"140,808",539,"9,186",167,"3,183,658","53,612","59,383,609",Africa
5,Mexico,"469,407","+6,717","51,311",+794,"313,386","+4,538","104,710","3,864","3,637",398,"1,071,706","8,303","129,069,858",North America
6,Peru,"463,875",,"20,649",,"314,332",,"128,894","1,460","14,049",625,"2,522,993","76,414","33,017,574",South America
7,Chile,"371,023","+2,198","10,011",+53,"344,133","+1,965","16,879","1,305","19,392",523,"1,812,895","94,752","19,132,961",South America
8,Colombia,"367,196",,"12,250",,"198,495",,"156,451","1,493","7,209",240,"1,842,292","36,168","50,937,743",South America
9,Spain,"361,442",,"28,503",,,,,617,"7,730",610,"7,064,329","151,087","46,756,698",Europe
10,Iran,"324,692","+2,125","18,264",+132,"282,122","+2,398","24,306","4,148","3,861",217,"2,637,575","31,362","84,100,560",Asia
11,UK,"309,763",+758,"46,566",+55,,,,67,"4,561",686,"17,801,559","262,084","67,923,001",Europe
12,Saudi Arabia,"287,262","+1,469","3,130",+37,"250,440","+1,492","33,692","1,828","8,239",90,"3,754,850","107,689","34,867,401",Asia
13,Pakistan,"283,487",+842,"6,068",+16,"259,604","+1,505","17,815",801,"1,281",27,"2,103,699","9,506","221,307,590",Asia
14,Bangladesh,"255,113","+2,611","3,365",+32,"146,604","+1,020","105,144",,"1,547",20,"1,249,560","7,580","164,855,881",Asia
15,Italy,"250,103",+347,"35,203",+13,"201,947",+305,"12,953",43,"4,137",582,"7,212,207","119,304","60,452,326",Europe
16,Turkey,"239,622","+1,172","5,829",+16,"222,656","+1,082","11,137",587,"2,838",69,"5,202,370","61,617","84,430,809",Asia
17,Argentina,"235,677",,"4,450",+39,"108,242","+4,945","122,985","1,293","5,210",98,"830,057","18,349","45,238,016",South America
18,Germany,"216,692",+377,"9,259",+5,"197,400","+1,200","10,033",236,"2,585",110,"8,586,648","102,451","83,811,990",Europe
19,France,"197,921",,"30,324",,"82,836",,"84,761",383,"3,031",464,"4,183,143","64,071","65,288,699",Europe
20,Iraq,"147,389","+3,325","5,310",+74,"105,504","+2,307","36,575",577,"3,657",132,"1,127,383","27,969","40,308,497",Asia
21,Philippines,"126,885","+4,131","2,209",+41,"67,117",+265,"57,559",239,"1,156",20,"1,735,780","15,819","109,726,705",Asia
22,Indonesia,"123,503","+2,277","5,658",+65,"79,306","+1,749","38,539",,451,21,"1,693,880","6,186","273,816,262",Asia
23,Canada,"118,985",,"8,970",,"103,435",,"6,580","2,276","3,150",237,"4,367,208","115,608","37,775,925",North America
24,Qatar,"112,650",+267,182,+2,"109,438",+296,"3,030",78,"40,120",65,"516,825","184,067","2,807,805",Asia
25,Kazakhstan,"97,829",+907,"1,058",,"71,609",+929,"25,162",221,"5,204",56,"2,183,308","116,138","18,799,280",Asia
26,Egypt,"95,147",,"4,971",,"50,553",,"39,623",41,928,48,"135,000","1,317","102,521,807",Africa
