scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-08,20:00,1,USA,331203424,5120955,25431,164577,483.0,2620147,3180,2336231,18038,15462,497,64096129,193525,1.0
2020-08-08,20:00,2,Brazil,212714814,2988796,21732,100240,538.0,2068394,,820162,8318,14051,471,13206188,62084,2.0
2020-08-08,20:00,3,India,1381382037,2152020,65156,43453,875.0,1479804,52135,628763,8944,1558,31,23387171,16930,3.0
2020-08-08,20:00,4,Russia,145941094,882347,5212,14854,129.0,690207,6615,177286,2300,6046,102,30038123,205824,4.0
2020-08-08,20:00,5,South Africa,59383609,545476,,9909,,394759,,140808,539,9186,167,3183658,53612,5.0
2020-08-08,20:00,7,Mexico,129069858,469407,6717,51311,794.0,313386,4538,104710,3864,3637,398,1071706,8303,1.0
2020-08-08,20:00,6,Peru,33017574,463875,,20649,,314332,,128894,1460,14049,625,2522993,76414,2.0
2020-08-08,20:00,10,Chile,19132961,371023,2198,10011,53.0,344133,1965,16879,1305,19392,523,1812895,94752,2.0
2020-08-08,20:00,8,Colombia,50937743,367196,,12250,,198495,,156451,1493,7209,240,1842292,36168,2.0
2020-08-08,20:00,9,Spain,46756698,361442,,28503,,,,,617,7730,610,7064329,151087,4.0
2020-08-08,20:00,11,Iran,84100560,324692,2125,18264,132.0,282122,2398,24306,4148,3861,217,2637575,31362,3.0
2020-08-08,20:00,13,UK,67923001,309763,758,46566,55.0,,,,67,4561,686,17801559,262084,4.0
2020-08-08,20:00,14,Saudi Arabia,34867401,287262,1469,3130,37.0,250440,1492,33692,1828,8239,90,3754850,107689,3.0
2020-08-08,20:00,16,Pakistan,221307590,283487,842,6068,16.0,259604,1505,17815,801,1281,27,2103699,9506,3.0
2020-08-08,20:00,15,Bangladesh,164855881,255113,2611,3365,32.0,146604,1020,105144,,1547,20,1249560,7580,3.0
2020-08-08,20:00,17,Italy,60452326,250103,347,35203,13.0,201947,305,12953,43,4137,582,7212207,119304,4.0
2020-08-08,20:00,18,Turkey,84430809,239622,1172,5829,16.0,222656,1082,11137,587,2838,69,5202370,61617,3.0
2020-08-08,20:00,12,Argentina,45238016,235677,,4450,39.0,108242,4945,122985,1293,5210,98,830057,18349,2.0
2020-08-08,20:00,20,Germany,83811990,216692,377,9259,5.0,197400,1200,10033,236,2585,110,8586648,102451,4.0
2020-08-08,20:00,19,France,65288699,197921,,30324,,82836,,84761,383,3031,464,4183143,64071,4.0
2020-08-08,20:00,21,Iraq,40308497,147389,3325,5310,74.0,105504,2307,36575,577,3657,132,1127383,27969,3.0
2020-08-08,20:00,22,Philippines,109726705,126885,4131,2209,41.0,67117,265,57559,239,1156,20,1735780,15819,3.0
2020-08-08,20:00,23,Indonesia,273816262,123503,2277,5658,65.0,79306,1749,38539,,451,21,1693880,6186,3.0
2020-08-08,20:00,24,Canada,37775925,118985,,8970,,103435,,6580,2276,3150,237,4367208,115608,1.0
2020-08-08,20:00,25,Qatar,2807805,112650,267,182,2.0,109438,296,3030,78,40120,65,516825,184067,3.0
2020-08-08,20:00,29,Kazakhstan,18799280,97829,907,1058,,71609,929,25162,221,5204,56,2183308,116138,3.0
2020-08-08,20:00,31,Egypt,102521807,95147,,4971,,50553,,39623,41,928,48,135000,1317,5.0
2020-08-08,20:00,27,Ecuador,17669556,93572,1603,5916,19.0,71605,142,16051,369,5296,335,261829,14818,2.0
2020-08-08,20:00,26,Bolivia,11688894,87891,1468,3524,59.0,28139,766,56228,71,7519,301,187103,16007,2.0
2020-08-08,20:00,33,Sweden,10105768,82323,,5763,,,,,34,8146,570,863315,85428,4.0
2020-08-08,20:00,30,Israel,9197590,82279,1288,592,11.0,57068,1755,24619,389,8946,64,1872453,203581,3.0
2020-08-08,20:00,35,Oman,5118802,81357,290,509,7.0,73481,1218,7367,173,15894,99,309212,60407,3.0
2020-08-08,20:00,28,Ukraine,43705144,79750,1489,1879,27.0,43655,600,34216,143,1825,43,1154378,26413,4.0
2020-08-08,20:00,32,Dominican Republic,10858945,78778,1069,1289,30.0,42538,1145,34951,317,7255,119,290267,26731,1.0
2020-08-08,20:00,36,Belgium,11594876,72784,768,9866,5.0,17728,28,45190,69,6277,851,1791554,154513,4.0
2020-08-08,20:00,34,Panama,4321467,72560,,1591,,46675,,24294,161,16791,368,244280,56527,1.0
