,_id,test_date,age_60_and_above,male,female,NULL
159,160,2020-05-03,,162,228,23
160,161,2020-05-03,No,1684,2013,3
161,162,2020-05-03,Yes,655,1185,0
162,163,2020-05-04,,170,151,85
163,164,2020-05-04,No,2104,2029,46
164,165,2020-05-04,Yes,518,559,4
165,166,2020-05-05,,158,205,11
166,167,2020-05-05,No,2084,2260,16
167,168,2020-05-05,Yes,670,999,4
168,169,2020-05-06,,160,380,15
169,170,2020-05-06,No,1863,1976,17
170,171,2020-05-06,Yes,714,1307,4
171,172,2020-05-07,,200,201,15
172,173,2020-05-07,No,2680,2681,1
173,174,2020-05-07,Yes,635,923,0
174,175,2020-05-08,,85,89,0
175,176,2020-05-08,No,1222,1463,2
176,177,2020-05-08,Yes,435,695,0
177,178,2020-05-09,,48,45,1
178,179,2020-05-09,No,256,296,0
179,180,2020-05-09,Yes,120,123,0
180,181,2020-05-10,,105,97,16
181,182,2020-05-10,No,1575,1844,0
182,183,2020-05-10,Yes,436,697,0
183,184,2020-05-11,,105,134,9
184,185,2020-05-11,No,1854,2064,25
185,186,2020-05-11,Yes,603,1064,11
186,187,2020-05-12,,166,193,19
187,188,2020-05-12,No,1516,1752,2
188,189,2020-05-12,Yes,509,929,0
189,190,2020-05-13,,118,170,65
190,191,2020-05-13,No,1336,1671,17
191,192,2020-05-13,Yes,551,1089,4
192,193,2020-05-14,,115,136,31
193,194,2020-05-14,No,1350,1627,4
194,195,2020-05-14,Yes,447,836,1
195,196,2020-05-15,,56,52,6
196,197,2020-05-15,No,639,769,5
197,198,2020-05-15,Yes,180,306,1
198,199,2020-05-16,,35,32,0
199,200,2020-05-16,No,161,215,0
200,201,2020-05-16,Yes,128,132,0
201,202,2020-05-17,,99,122,45
202,203,2020-05-17,No,1184,1215,6
203,204,2020-05-17,Yes,317,426,1
204,205,2020-05-18,,99,119,7
205,206,2020-05-18,No,1487,1705,4
206,207,2020-05-18,Yes,427,648,0
207,208,2020-05-19,,121,96,49
208,209,2020-05-19,No,1493,1699,29
209,210,2020-05-19,Yes,265,412,0
210,211,2020-05-20,,94,102,3
211,212,2020-05-20,No,1278,1567,13
212,213,2020-05-20,Yes,305,426,3
213,214,2020-05-21,,94,84,25
214,215,2020-05-21,No,1341,1618,7
215,216,2020-05-21,Yes,341,518,1
216,217,2020-05-22,,61,97,3
217,218,2020-05-22,No,635,986,7
218,219,2020-05-22,Yes,296,522,0
219,220,2020-05-23,,20,27,1
220,221,2020-05-23,No,130,172,0
221,222,2020-05-23,Yes,90,157,0
222,223,2020-05-24,,58,58,14
223,224,2020-05-24,No,913,1199,4
224,225,2020-05-24,Yes,219,310,0
225,226,2020-05-25,,65,91,8
226,227,2020-05-25,No,1287,1571,142
227,228,2020-05-25,Yes,385,701,2
228,229,2020-05-26,,93,125,2
229,230,2020-05-26,No,1143,1383,3
230,231,2020-05-26,Yes,403,727,3
231,232,2020-05-27,,79,65,10
232,233,2020-05-27,No,1068,1483,13
233,234,2020-05-27,Yes,536,1194,2
234,235,2020-05-28,,95,60,8
235,236,2020-05-28,No,990,1201,19
236,237,2020-05-28,Yes,321,534,0
237,238,2020-05-29,,30,23,2
238,239,2020-05-29,No,478,602,0
239,240,2020-05-29,Yes,50,61,0
240,241,2020-05-30,,29,23,4
241,242,2020-05-30,No,702,712,1
242,243,2020-05-30,Yes,105,88,0
243,244,2020-05-31,,84,81,26
244,245,2020-05-31,No,1905,2209,28
245,246,2020-05-31,Yes,345,656,110
246,247,2020-06-01,,231,227,31
247,248,2020-06-01,No,3490,3915,114
248,249,2020-06-01,Yes,523,746,158
249,250,2020-06-02,,185,196,307
250,251,2020-06-02,No,4073,5154,357
251,252,2020-06-02,Yes,584,907,1328
252,253,2020-06-03,,209,259,77
253,254,2020-06-03,No,4787,5723,556
254,255,2020-06-03,Yes,424,671,197
255,256,2020-06-04,,268,328,188
256,257,2020-06-04,No,4936,6612,725
257,258,2020-06-04,Yes,449,645,182
258,259,2020-06-05,,129,135,9
259,260,2020-06-05,No,3554,4502,552
260,261,2020-06-05,Yes,288,351,52
261,262,2020-06-06,,85,107,8
262,263,2020-06-06,No,2432,2887,451
263,264,2020-06-06,Yes,271,371,47
264,265,2020-06-07,,169,192,21
265,266,2020-06-07,No,3951,5019,415
266,267,2020-06-07,Yes,420,547,47
267,268,2020-06-08,,156,166,63
268,269,2020-06-08,No,4419,5274,414
269,270,2020-06-08,Yes,493,887,31
270,271,2020-06-09,,203,240,24
271,272,2020-06-09,No,4800,5818,168
272,273,2020-06-09,Yes,863,1587,15
273,274,2020-06-10,,123,170,80
274,275,2020-06-10,No,4945,5925,225
275,276,2020-06-10,Yes,533,1090,151
276,277,2020-06-11,,116,140,95
277,278,2020-06-11,No,4669,5589,159
278,279,2020-06-11,Yes,599,895,17
279,280,2020-06-12,,99,60,11
280,281,2020-06-12,No,2255,2719,26
281,282,2020-06-12,Yes,328,557,2
282,283,2020-06-13,,51,80,6
283,284,2020-06-13,No,830,998,21
284,285,2020-06-13,Yes,118,143,2
285,286,2020-06-14,,99,105,44
286,287,2020-06-14,No,3620,4624,32
287,288,2020-06-14,Yes,417,560,0
288,289,2020-06-15,,157,163,57
289,290,2020-06-15,No,4771,5710,211
290,291,2020-06-15,Yes,574,756,13
291,292,2020-06-16,,131,108,23
292,293,2020-06-16,No,4389,5058,222
293,294,2020-06-16,Yes,575,917,2
294,295,2020-06-17,,90,120,27
295,296,2020-06-17,No,4210,5287,37
296,297,2020-06-17,Yes,462,702,1
297,298,2020-06-18,,154,198,69
298,299,2020-06-18,No,4070,4634,32
299,300,2020-06-18,Yes,513,862,0
300,301,2020-06-19,,62,81,5
301,302,2020-06-19,No,2832,3286,77
302,303,2020-06-19,Yes,343,424,1
303,304,2020-06-20,,55,59,3
304,305,2020-06-20,No,844,1083,315
305,306,2020-06-20,Yes,141,145,0
306,307,2020-06-21,,109,121,23
307,308,2020-06-21,No,3923,4745,27
308,309,2020-06-21,Yes,509,564,0
309,310,2020-06-22,,118,103,38
310,311,2020-06-22,No,4794,5464,187
311,312,2020-06-22,Yes,620,716,3
312,313,2020-06-23,,118,127,42
313,314,2020-06-23,No,5923,6201,88
314,315,2020-06-23,Yes,703,923,0
315,316,2020-06-24,,128,126,76
316,317,2020-06-24,No,5481,5798,104
317,318,2020-06-24,Yes,602,683,2
318,319,2020-06-25,,113,110,87
319,320,2020-06-25,No,5946,6386,195
320,321,2020-06-25,Yes,697,920,4
321,322,2020-06-26,,81,59,16
322,323,2020-06-26,No,3719,4095,97
323,324,2020-06-26,Yes,378,395,1
324,325,2020-06-27,,60,61,3
325,326,2020-06-27,No,1388,1543,110
