,_id,date,hospitalized,percentage_hospitalized_woman,hospitalized_age_avg,hospitalized_age_std,respirator,percentage_respirator_woman,respirator_age_avg ,respirator_age_std,minor_patients,minor_patients_percentage_woman,minor_patients_avg_age,minor_patients_std_age,medium_patients,medium_patients_percentage_woman,medium_patients_avg_age,medium_patients_std_age,serious_patients,serious_patients_percentage_woman,serious_patients_avg_age,serious_patients_std_age
0,1,2020-03-11,75,36.0,48.0,17.4,<15,20.0,63.0,15.3,68,36.8,47.0,16.8,,,,,<15,33.3,67.0,16.2
1,2,2020-03-12,97,39.2,50.0,18.0,<15,20.0,63.0,15.3,90,40.0,49.0,17.7,,,,,<15,33.3,67.0,16.2
2,3,2020-03-13,115,39.1,49.0,18.0,<15,20.0,63.0,15.3,105,39.0,47.0,17.4,<15,50.0,64.0,17.3,<15,33.3,67.0,16.2
3,4,2020-03-14,153,41.2,47.0,18.3,<15,0.0,70.0,7.4,144,41.7,46.0,17.5,<15,50.0,64.0,17.3,<15,20.0,76.0,10.3
4,5,2020-03-15,192,44.3,46.0,18.6,<15,20.0,74.0,7.6,178,44.4,45.0,17.6,<15,50.0,58.0,14.9,<15,37.5,79.0,9.1
5,6,2020-03-16,211,43.6,46.0,18.7,<15,16.7,74.0,7.1,196,43.9,45.0,17.8,<15,60.0,54.0,12.2,<15,30.0,78.0,8.6
6,7,2020-03-17,242,44.6,47.0,19.3,<15,16.7,74.0,7.1,225,45.3,46.0,18.6,<15,50.0,51.0,12.6,<15,27.3,76.0,8.9
7,8,2020-03-18,287,42.9,47.0,19.1,<15,16.7,74.0,7.1,263,44.1,45.0,18.4,<15,27.3,57.0,13.4,<15,30.8,76.0,9.4
8,9,2020-03-19,276,41.7,48.0,19.6,<15,36.4,70.0,12.9,247,42.5,46.0,19.0,<15,27.3,58.0,12.3,18,38.9,73.0,12.5
9,10,2020-03-20,272,43.0,50.0,19.3,<15,36.4,70.0,12.9,238,44.1,48.0,19.1,<15,28.6,57.0,11.0,20,40.0,71.0,12.1
10,11,2020-03-21,260,41.9,52.0,19.5,<15,35.7,68.0,12.5,217,42.9,49.0,19.5,20,35.0,59.0,10.5,23,39.1,71.0,12.9
11,12,2020-03-22,306,42.5,52.0,20.0,21,23.8,66.0,13.8,243,45.3,48.0,19.5,30,33.3,63.0,13.7,33,30.3,70.0,14.5
12,13,2020-03-23,329,42.6,54.0,20.0,22,27.3,69.0,12.0,257,44.0,50.0,19.6,34,38.2,65.0,14.8,38,36.8,72.0,12.7
13,14,2020-03-24,370,40.5,54.0,20.3,23,21.7,69.0,11.9,284,43.3,50.0,20.0,46,32.6,65.0,13.7,40,30.0,71.0,13.8
14,15,2020-03-25,387,39.8,55.0,20.2,25,28.0,68.0,14.4,292,42.8,51.0,20.1,51,27.5,64.0,13.3,44,34.1,71.0,15.3
15,16,2020-03-26,431,39.9,55.0,19.9,28,25.0,65.0,14.1,319,42.9,51.0,20.3,63,33.3,63.0,14.0,49,28.6,67.0,15.5
16,17,2020-03-27,469,39.9,56.0,19.7,34,23.5,63.0,16.8,344,43.6,53.0,20.1,67,28.4,63.0,13.5,58,31.0,66.0,17.1
17,18,2020-03-28,463,38.4,57.0,19.5,38,23.7,63.0,16.5,326,42.3,53.0,20.1,75,24.0,63.0,13.7,62,35.5,67.0,16.8
18,19,2020-03-29,486,37.0,57.0,19.2,47,19.1,64.0,14.8,336,41.4,53.0,19.9,78,25.6,62.0,14.8,72,29.2,66.0,15.2
19,20,2020-03-30,564,36.9,58.0,19.2,52,17.3,66.0,14.6,390,40.5,54.0,19.8,94,27.7,63.0,15.0,80,30.0,67.0,15.9
20,21,2020-03-31,622,36.3,58.0,19.2,62,17.7,65.0,14.4,427,39.6,54.0,19.5,103,30.1,64.0,16.5,92,28.3,67.0,15.0
21,22,2020-04-01,723,36.2,59.0,19.2,70,14.3,66.0,15.0,483,41.2,56.0,19.7,134,26.9,66.0,15.7,106,25.5,68.0,15.2
22,23,2020-04-02,778,37.5,59.0,19.1,75,17.3,66.0,14.4,532,42.5,56.0,19.7,138,26.8,66.0,16.3,108,26.9,68.0,14.4
23,24,2020-04-03,772,37.8,59.0,19.5,90,20.0,66.0,14.5,496,43.8,55.0,20.2,151,25.8,66.0,16.1,125,28.8,67.0,15.3
24,25,2020-04-04,761,36.9,60.0,19.9,105,20.0,65.0,15.2,462,44.8,56.0,21.1,163,23.9,66.0,15.8,136,25.7,67.0,15.5
25,26,2020-04-05,797,37.5,60.0,19.3,106,19.8,65.0,14.9,479,45.1,56.0,20.5,185,27.6,67.0,15.8,133,24.1,67.0,15.4
26,27,2020-04-06,790,37.3,61.0,18.8,108,18.5,64.0,15.3,443,43.1,57.0,19.7,202,34.2,68.0,15.7,145,24.1,66.0,15.6
27,28,2020-04-07,728,37.2,62.0,18.6,105,20.0,65.0,15.6,376,44.4,58.0,20.3,195,33.3,68.0,15.6,157,24.8,66.0,15.2
28,29,2020-04-08,676,37.1,63.0,18.5,114,19.3,65.0,15.4,323,45.8,58.0,20.4,189,32.3,68.0,15.6,164,25.6,66.0,15.2
29,30,2020-04-09,652,38.7,63.0,19.1,116,19.8,64.0,15.2,305,49.2,58.0,21.3,183,35.5,69.0,16.9,164,22.6,66.0,14.9
30,31,2020-04-10,659,39.2,63.0,19.2,127,21.3,64.0,15.2,323,49.8,58.0,21.0,167,34.7,70.0,16.6,169,23.1,66.0,14.9
31,32,2020-04-11,620,39.2,64.0,18.5,129,20.2,65.0,14.7,278,48.9,59.0,20.6,161,39.1,71.0,15.8,181,24.3,66.0,15.1
32,33,2020-04-12,659,40.1,65.0,18.4,129,19.4,66.0,14.8,309,46.9,61.0,20.4,173,43.4,69.0,16.6,177,24.9,67.0,15.1
33,34,2020-04-13,682,40.9,65.0,18.9,136,18.4,66.0,15.7,322,48.4,61.0,21.3,169,42.6,70.0,16.0,191,26.7,67.0,15.7
34,35,2020-04-14,668,42.4,66.0,19.2,132,19.7,65.0,15.7,322,50.0,62.0,21.9,170,45.3,71.0,15.5,176,25.6,67.0,15.6
35,36,2020-04-15,652,42.5,66.0,19.3,124,20.2,66.0,16.0,313,49.8,62.0,22.0,168,44.0,70.0,15.2,171,27.5,68.0,16.2
36,37,2020-04-16,676,43.3,65.0,19.9,123,20.3,65.0,16.0,347,52.2,61.0,22.5,160,43.8,71.0,15.5,169,24.9,66.0,15.9
37,38,2020-04-17,640,42.7,65.0,19.4,114,17.5,65.0,15.2,326,50.9,62.0,22.1,159,44.0,71.0,15.5,155,23.9,67.0,15.2
38,39,2020-04-18,622,43.7,65.0,19.8,113,19.5,65.0,15.6,314,52.9,61.0,22.6,141,46.1,72.0,15.5,167,24.6,66.0,15.2
39,40,2020-04-19,605,44.0,65.0,19.3,114,19.3,65.0,15.0,306,52.9,61.0,21.7,147,48.3,71.0,15.9,152,21.7,66.0,14.9
40,41,2020-04-20,598,44.6,64.0,19.3,122,20.5,65.0,15.3,311,53.1,61.0,21.5,134,48.5,71.0,15.4,153,24.2,66.0,15.5
41,42,2020-04-21,537,43.9,65.0,19.1,118,20.3,66.0,14.9,248,53.2,60.0,21.5,145,49.0,72.0,15.6,144,22.9,66.0,15.5
42,43,2020-04-22,522,42.1,65.0,19.1,110,20.0,66.0,14.6,252,51.6,61.0,21.3,122,44.3,72.0,16.3,148,24.3,67.0,15.0
43,44,2020-04-23,493,40.4,64.0,19.6,113,18.6,67.0,14.2,242,49.2,60.0,22.3,106,42.5,72.0,15.2,145,24.1,67.0,15.1
44,45,2020-04-24,453,40.4,65.0,19.2,108,19.4,67.0,14.6,202,50.5,59.0,21.8,107,40.2,71.0,16.0,144,26.4,68.0,15.1
45,46,2020-04-25,433,41.1,65.0,18.9,107,16.8,67.0,14.7,194,51.0,60.0,21.5,104,45.2,72.0,14.8,135,23.7,68.0,15.6
46,47,2020-04-26,432,40.7,65.0,19.2,110,17.3,67.0,15.5,200,48.5,59.0,21.1,91,48.4,72.0,15.2,141,24.8,67.0,16.8
47,48,2020-04-27,409,40.6,65.0,18.7,102,17.6,67.0,15.6,190,47.9,61.0,20.9,87,51.7,72.0,13.4,132,22.7,67.0,16.6
48,49,2020-04-28,386,40.4,65.0,19.7,101,17.8,66.0,16.4,175,49.1,60.0,22.3,84,48.8,72.0,14.2,127,22.8,67.0,16.9
49,50,2020-04-29,371,41.8,64.0,19.7,96,17.7,66.0,15.3,166,53.0,59.0,22.7,84,42.9,70.0,14.2,121,25.6,68.0,16.8
