,_id,date,isolated_today_contact_with_confirmed,isolated_today_abroad,new_contact_with_confirmed,new_from_abroad
73,74,2020-05-10,1310,485,201,61
74,75,2020-05-09,1459,492,84,24
75,76,2020-05-08,1665,559,148,46
76,77,2020-05-07,1693,534,313,49
77,78,2020-05-06,1672,564,70,61
78,79,2020-05-05,2161,597,238,57
79,80,2020-05-04,2371,605,318,56
80,81,2020-05-03,2410,614,357,63
81,82,2020-05-02,2470,656,248,15>
82,83,2020-05-01,2694,711,243,49
83,84,2020-04-30,2739,744,376,46
84,85,2020-04-29,2895,757,195,15
85,86,2020-04-28,3237,771,265,78
86,87,2020-04-27,3350,720,402,95
87,88,2020-04-26,3503,651,465,42
88,89,2020-04-25,3724,666,387,26
89,90,2020-04-24,3996,671,613,85
90,91,2020-04-23,3730,635,398,92
91,92,2020-04-22,3933,607,457,73
92,93,2020-04-21,3794,550,453,111
93,94,2020-04-20,3895,512,616,49
94,95,2020-04-19,4239,796,696,43
95,96,2020-04-18,4295,978,404,70
96,97,2020-04-17,4664,1114,562,59
97,98,2020-04-16,4422,1163,903,37
98,99,2020-04-15,3927,1282,527,31
99,100,2020-04-14,4155,1712,529,48
100,101,2020-04-13,4419,1812,650,40
101,102,2020-04-12,4665,1922,940,53
102,103,2020-04-11,4745,2192,404,60
103,104,2020-04-10,5587,2863,1153,29
104,105,2020-04-09,4925,3130,24,75
105,106,2020-04-08,5713,4165,481,161
106,107,2020-04-07,6921,6514,601,222
107,108,2020-04-06,8253,8025,963,461
108,109,2020-04-05,9088,9065,1530,118
109,110,2020-04-04,9148,11275,760,130
110,111,2020-04-03,9885,13572,1143,428
111,112,2020-04-02,9597,15734,1248,260
112,113,2020-04-01,9487,17351,2324,159
113,114,2020-03-31,9025,21566,1983,459
114,115,2020-03-30,8596,24564,1597,347
115,116,2020-03-29,8912,27677,1511,941
116,117,2020-03-28,9246,30536,721,581
117,118,2020-03-27,10691,34451,1453,2033
118,119,2020-03-26,11611,35448,1890,2782
119,120,2020-03-25,11930,35066,2362,2104
120,121,2020-03-24,15686,37276,2620,2561
121,122,2020-03-23,16898,39209,2317,2661
122,123,2020-03-22,23159,40463,3319,3528
123,124,2020-03-21,24867,40185,2596,1690
124,125,2020-03-20,27612,41112,4463,5086
125,126,2020-03-19,24965,38013,3400,3914
126,127,2020-03-18,23160,35557,6013,3954
127,128,2020-03-17,19103,33972,5579,4895
128,129,2020-03-16,15489,30709,3056,3637
129,130,2020-03-15,13366,28914,5242,5972
130,131,2020-03-14,10026,25883,1504,2204
131,132,2020-03-13,9023,26211,1546,3096
132,133,2020-03-12,7689,25131,2331,3718
133,134,2020-03-11,5573,22880,2087,3971
134,135,2020-03-10,3728,20841,2169,3688
135,136,2020-03-09,2171,18463,675,3325
136,137,2020-03-08,1838,16495,384,2277
137,138,2020-03-07,2331,15636,116,1439
138,139,2020-03-06,2351,15387,224,5014
139,140,2020-03-05,2174,10954,384,4690
140,141,2020-03-04,1799,6538,886,1652
141,142,2020-03-03,921,5412,326,436
142,143,2020-03-02,597,5399,15>,486
143,144,2020-03-01,599,5226,126,1117
