scrap_date,scrap_time,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
2020-10-04,21:01,1,North America,9104185,23508,315833,590,5913797,21569,2874555,17403
2020-10-04,21:01,3,Asia,11036030,58555,200770,916,9312166,64849,1523094,20769
2020-10-04,21:01,2,South America,8259073,2058,260544,88,7097577,1640,900952,17350
2020-10-04,21:01,4,Europe,5299113,37279,224977,351,2617534,17509,2456602,9119
2020-10-04,21:01,5,Africa,1517809,2965,36466,67,1254730,1374,226613,1604
2020-10-04,21:01,6,Oceania,31554,20,936,1,28791,21,1827,18
2020-10-04,21:01,7,World,35248485,124385,1039541,2013,26225246,106962,7983698,66267
