scrap_date,scrap_time,update date,update time-GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
2020-10-03,22:24,2020-10-03,,1,North America,9055064,38073,314871,922,5874175,34528,2866018,17595
2020-10-03,22:24,2020-10-03,,3,Asia,10976177,108584,199850,1570,9245455,108918,1530872,20706
2020-10-03,22:24,2020-10-03,,2,South America,8215444,9140,259457,220,7057549,1791,898438,17369
2020-10-03,22:24,2020-10-03,,4,Europe,5247120,56763,224572,538,2594848,15381,2427700,9007
2020-10-03,22:24,2020-10-03,,5,Africa,1512022,6007,36342,54,1250757,4598,224923,1576
2020-10-03,22:24,2020-10-03,,6,Oceania,31534,11,935,3,28770,37,1829,18
2020-10-03,22:24,2020-10-03,,7,World,35038082,218578,1036042,3307,26052205,165253,7949835,66275
