Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",scrap_date,scrap_time
2,South America,"5,765,689",722,"189,221",161,"4,301,362","6,898","1,275,106","14,910",24.08.20,17:10
3,Asia,"6,336,744","38,481","130,818",577,"5,018,266","38,012","1,187,660","18,994",24.08.20,17:10
4,Europe,"3,367,088","11,697","205,489",188,"1,992,950","6,810","1,168,649","5,430",24.08.20,17:10
5,Africa,"1,193,588","1,174","27,856",25,"910,515",791,"255,217","1,212",24.08.20,17:10
6,Oceania,"27,349",113,544,15,"21,567",371,"5,238",50,24.08.20,17:10
7,World,"23,637,289","58,766","813,415","1,225","16,132,744","56,791","6,691,130","61,704",24.08.20,17:10
1,North America,"7,016,056","27,196","261,158","1,114","3,961,894","17,858","2,793,004","20,894",25.08.20,23:00
2,South America,"5,828,382","12,136","191,122",388,"4,401,625","10,249","1,235,635","14,971",25.08.20,23:00
3,Asia,"6,474,168","90,311","133,282","1,567","5,159,676","86,304","1,181,210","18,937",25.08.20,23:00
4,Europe,"3,406,524","20,597","205,955",386,"2,003,447","8,497","1,197,122","5,562",25.08.20,23:00
5,Africa,"1,204,764","4,803","28,153",102,"927,580","2,360","249,031","1,258",25.08.20,23:00
6,Oceania,"27,585",162,552,8,"21,568",1,"5,465",53,25.08.20,23:00
7,World,"23,958,200","155,205","820,237","3,565","16,476,441","125,269","6,661,522","61,679",25.08.20,23:00
1,North America,"7,071,458","33,323","263,270","1,508","4,007,472","19,187","2,800,716","21,033",26.08.20,22:59
2,South America,"5,906,882","12,798","193,344",556,"4,500,443","9,301","1,213,095","14,971",26.08.20,22:59
3,Asia,"6,577,413","101,804","134,877","1,570","5,240,533","79,355","1,202,003","18,902",26.08.20,22:59
4,Europe,"3,433,725","26,211","206,329",361,"2,015,253","11,622","1,212,143","5,592",26.08.20,22:59
5,Africa,"1,215,272","7,649","28,608",274,"943,270","9,078","243,394","1,272",26.08.20,22:59
6,Oceania,"27,741",156,576,24,"22,065",286,"5,100",58,26.08.20,22:59
