Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
1,USA,"331,341,050","6,317,610","+26,873","190,597",+633,"3,558,094","+11,062","2,568,919","15,096","19,067",575,"84,611,278","255,360",1.0,03.09.20,23:01
2,Brazil,"212,821,986","4,007,502","+6,080","124,057",+158,"3,210,405",,"673,040","8,318","18,830",583,"14,352,484","67,439",2.0,03.09.20,23:01
3,India,"1,382,345,085","3,933,124","+84,156","68,569","+1,083","3,032,916","+65,520","831,639","8,944","2,845",50,"45,509,380","32,922",3.0,03.09.20,23:01
4,Russia,"145,945,524","1,009,995","+4,995","17,528",+114,"826,935","+5,766","165,532","2,300","6,920",120,"37,484,146","256,837",4.0,03.09.20,23:01
6,Peru,"33,050,211","663,437",,"29,259",,"480,177",,"154,001","1,500","20,074",885,"3,256,711","98,538",2.0,03.09.20,23:01
8,Colombia,"50,976,248","633,339",,"20,348",,"479,568",,"133,423","1,493","12,424",399,"2,810,137","55,126",2.0,03.09.20,23:01
5,South Africa,"59,436,725","633,015","+2,420","14,563",+174,"554,887","+1,431","63,565",539,"10,650",245,"3,747,101","63,044",5.0,03.09.20,23:01
7,Mexico,"129,166,028","610,957","+4,921","65,816",+575,"424,990","+3,617","120,151","3,191","4,730",510,"1,376,170","10,654",1.0,03.09.20,23:01
9,Spain,"46,757,980","488,513","+8,959","29,234",+40,,,,930,"10,448",625,"9,210,337","196,979",4.0,03.09.20,23:01
12,Argentina,"45,267,449","439,172",,"9,155",+37,"322,461","+6,931","107,556","2,359","9,702",202,"1,324,687","29,264",2.0,03.09.20,23:01
10,Chile,"19,144,605","416,501","+1,762","11,422",+78,"389,409","+1,726","15,670",940,"21,756",597,"2,481,508","129,619",2.0,03.09.20,23:01
11,Iran,"84,176,929","380,746","+1,994","21,926",+129,"328,595","+1,794","30,225","3,702","4,523",260,"3,307,383","39,291",3.0,03.09.20,23:01
13,UK,"67,948,282","340,411","+1,735","41,527",+13,,,,80,"5,010",611,"17,619,897","259,313",4.0,03.09.20,23:01
15,Bangladesh,"164,972,348","319,686","+2,158","4,383",+32,"213,980","+2,964","101,323",,"1,938",27,"1,592,038","9,650",3.0,03.09.20,23:01
14,Saudi Arabia,"34,905,942","318,319",+833,"3,982",+26,"293,964","+1,454","20,373","1,495","9,119",114,"5,261,814","150,743",3.0,03.09.20,23:01
19,France,"65,298,930","300,181","+7,157","30,706",+20,"87,206",+243,"182,269",464,"4,597",470,"7,500,000","114,856",4.0,03.09.20,23:01
16,Pakistan,"221,612,785","297,014",+424,"6,328",+10,"281,925",+466,"8,761",585,"1,340",29,"2,684,252","12,112",3.0,03.09.20,23:01
18,Turkey,"84,495,243","274,943","+1,642","6,511",+49,"248,087","+1,211","20,345","1,041","3,254",77,"7,466,087","88,361",3.0,03.09.20,23:01
17,Italy,"60,446,035","272,912","+1,397","35,507",+10,"208,490",+289,"28,915",120,"4,515",587,"8,921,658","147,597",4.0,03.09.20,23:01
20,Germany,"83,830,972","248,722","+1,331","9,398",+5,"223,100",,"16,224",228,"2,967",112,"12,383,035","147,714",4.0,03.09.20,23:01
21,Iraq,"40,372,771","247,039","+4,755","7,275",+74,"187,757","+3,552","52,007",496,"6,119",180,"1,670,483","41,376",3.0,03.09.20,23:01
22,Philippines,"109,830,324","228,403","+1,987","3,688",+65,"159,475",+880,"65,240",922,"2,080",34,"2,705,817","24,636",3.0,03.09.20,23:01
23,Indonesia,"274,021,604","184,268","+3,622","7,750",+134,"132,055","+2,084","44,463",,672,28,"2,338,865","8,535",3.0,03.09.20,23:01
