scrap_date,scrap_time,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
2020-08-18,20:00,1,North America,6632089,17604,248968,767,3647264,6924,2735857,21931
2020-08-18,20:00,2,South America,5332348,3422,177755,183,3902836,8779,1251757,14858
2020-08-18,20:00,3,Asia,5826494,88637,123117,1594,4547577,80987,1155800,18929
2020-08-18,20:00,4,Europe,3222074,18389,203684,311,1927762,10704,1090628,5201
2020-08-18,20:00,5,Africa,1134916,2815,25995,53,851865,2142,257056,1205
2020-08-18,20:00,6,Oceania,26011,226,464,17,16680,390,8867,59
2020-08-18,20:00,7,World,22174653,131093,779998,2925,14894635,109926,6500020,62187
