,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
69,2020-08-18,20:00,70,Czechia,10711615.0,20393,191.0,401.0,2.0,15146.0,524.0,4846.0,29.0,1904.0,37.0,805609.0,75209.0,4.0
70,2020-08-18,20:00,72,Cameroon,26626108.0,18582,,403.0,,16540.0,,1639.0,30.0,698.0,15.0,149000.0,5596.0,5.0
71,2020-08-18,20:00,71,Palestine,5115914.0,17306,462.0,113.0,,9939.0,33.0,7254.0,,3383.0,22.0,214862.0,41999.0,3.0
72,2020-08-18,20:00,75,Ivory Coast,26457641.0,17107,,110.0,,13990.0,,3007.0,,647.0,4.0,114420.0,4325.0,5.0
73,2020-08-18,20:00,73,Bosnia and Herzegovina,3278040.0,16351,240.0,495.0,9.0,10279.0,423.0,5577.0,,4988.0,151.0,164881.0,50299.0,4.0
74,2020-08-18,20:00,76,Denmark,5794890.0,15855,115.0,621.0,,13529.0,112.0,1705.0,1.0,2736.0,107.0,1994602.0,344200.0,4.0
75,2020-08-18,20:00,74,S. Korea,51275054.0,15761,246.0,306.0,1.0,13934.0,17.0,1521.0,9.0,307.0,6.0,1697042.0,33097.0,3.0
76,2020-08-18,20:00,77,Bulgaria,6941291.0,14500,,512.0,,9442.0,,4546.0,56.0,2089.0,74.0,339563.0,48919.0,4.0
77,2020-08-18,20:00,78,Madagascar,27777173.0,14009,123.0,173.0,2.0,12767.0,164.0,1069.0,89.0,504.0,6.0,53278.0,1918.0,5.0
78,2020-08-18,20:00,79,North Macedonia,2083363.0,12970,130.0,549.0,2.0,9513.0,339.0,2908.0,3.0,6226.0,264.0,128938.0,61889.0,4.0
79,2020-08-18,20:00,82,Sudan,43974388.0,12485,75.0,805.0,2.0,6398.0,13.0,5282.0,,284.0,18.0,401.0,9.0,5.0
