Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id,scrap_date,scrap_time
194,Macao,"651,112",46,,,,46,,0,,71,,"4,238","6,509",3.0,14.09.20,22:04
196,Fiji,"897,768",32,,2,,24,,6,1,36,2,"9,076","10,110",,14.09.20,22:04
197,Saint Lucia,"183,799",27,,,,26,,1,,147,,"7,221","39,287",1.0,14.09.20,22:04
198,Timor-Leste,"1,323,423",27,,,,26,+1,1,,20,,"5,146","3,888",3.0,14.09.20,22:04
200,New Caledonia,"286,054",26,,,,26,,0,,91,,"13,463","47,065",,14.09.20,22:04
208,Caribbean Netherlands,"26,272",25,,,,7,,18,,952,,900,"34,257",1.0,14.09.20,22:04
203,Dominica,"72,023",24,,,,18,,6,,333,,"2,077","28,838",1.0,14.09.20,22:04
199,Grenada,"112,630",24,,,,24,,0,,213,,"6,252","55,509",1.0,14.09.20,22:04
201,Laos,"7,296,716",23,,,,22,+1,1,,3,,"44,788","6,138",3.0,14.09.20,22:04
205,St. Barth,"9,883",21,,,,13,,8,,"2,125",,"2,075","209,956",1.0,14.09.20,22:04
204,Saint Kitts and Nevis,"53,276",17,,,,17,,0,,319,,"1,922","36,076",1.0,14.09.20,22:04
206,Greenland,"56,790",14,,,,14,,0,,247,,"7,252","127,699",1.0,14.09.20,22:04
207,Montserrat,"4,993",13,,1,,12,+1,0,,"2,604",200,373,"74,705",1.0,14.09.20,22:04
209,Falkland Islands,"3,500",13,,,,13,,0,,"3,714",,"2,261","646,000",2.0,14.09.20,22:04
210,Vatican City,801,12,,,,12,,0,,"14,981",,,,4.0,14.09.20,22:04
213,Saint Pierre Miquelon,"5,788",11,,,,5,,6,,"1,900",,"1,051","181,583",1.0,14.09.20,22:04
211,Western Sahara,"600,211",10,,1,,8,,1,,17,2,,,5.0,14.09.20,22:04
212,MS Zaandam,,9,,2,,,,7,,,,,,,14.09.20,22:04
214,Anguilla,"15,030",3,,,,3,,0,,200,,928,"61,743",1.0,14.09.20,22:04
215,China,"1,439,323,776","85,194",+10,"4,634",,"80,415",+16,145,2,59,3,"160,000,000","111,163",3.0,14.09.20,22:04
