,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
0,2020-09-08,22:10,1,USA,331367517.0,6498406,12831.0,193773.0,239.0,3775602.0,16973.0,2529031.0,14567.0,19611.0,585.0,88306353.0,266491.0,1.0
1,2020-09-08,22:10,3,India,1382530286.0,4363843,86259.0,73894.0,1078.0,3393583.0,72163.0,896366.0,8944.0,3156.0,53.0,50650128.0,36636.0,3.0
2,2020-09-08,22:10,2,Brazil,212842596.0,4150311,2517.0,127084.0,83.0,3355564.0,,667663.0,8318.0,19499.0,597.0,14408116.0,67694.0,2.0
3,2020-09-08,22:10,4,Russia,145946376.0,1035789,5099.0,17993.0,122.0,850049.0,6772.0,167747.0,2300.0,7097.0,123.0,38758184.0,265565.0,4.0
4,2020-09-08,22:10,6,Peru,33056487.0,691575,,29976.0,,522251.0,,139348.0,1488.0,20921.0,907.0,3386625.0,102450.0,2.0
5,2020-09-08,22:10,8,Colombia,50983652.0,671848,,21615.0,,529279.0,,120954.0,863.0,13178.0,424.0,2964722.0,58150.0,2.0
6,2020-09-08,22:10,5,South Africa,59446940.0,639362,,15004.0,,566555.0,,57803.0,539.0,10755.0,252.0,3808949.0,64073.0,5.0
7,2020-09-08,22:10,7,Mexico,129184522.0,637509,3486.0,67781.0,223.0,446715.0,4447.0,123013.0,2836.0,4935.0,525.0,1435703.0,11114.0,1.0
8,2020-09-08,22:10,9,Spain,46758226.0,534513,8964.0,29594.0,78.0,,,,1034.0,11431.0,633.0,9987326.0,213595.0,4.0
9,2020-09-08,22:10,12,Argentina,45273109.0,488007,,10179.0,50.0,366590.0,9202.0,111238.0,2698.0,10779.0,225.0,1412149.0,31192.0,2.0
10,2020-09-08,22:10,10,Chile,19146844.0,425541,1267.0,11682.0,30.0,397730.0,2013.0,16129.0,930.0,22225.0,610.0,2669569.0,139426.0,2.0
11,2020-09-08,22:10,11,Iran,84191615.0,391112,2302.0,22542.0,132.0,337414.0,1842.0,31156.0,3713.0,4645.0,268.0,3431646.0,40760.0,3.0
12,2020-09-08,22:10,13,UK,67953144.0,352560,2460.0,41586.0,32.0,,,,77.0,5188.0,612.0,17619897.0,259295.0,4.0
13,2020-09-08,22:10,19,France,65300897.0,335524,6544.0,30764.0,38.0,88226.0,390.0,216534.0,574.0,5138.0,471.0,8500000.0,130167.0,4.0
14,2020-09-08,22:10,15,Bangladesh,164994746.0,329251,1892.0,4552.0,36.0,227809.0,3236.0,96890.0,,1996.0,28.0,1659697.0,10059.0,3.0
15,2020-09-08,22:10,14,Saudi Arabia,34913354.0,322237,781.0,4137.0,30.0,298246.0,623.0,19854.0,1428.0,9230.0,118.0,5406136.0,154844.0,3.0
