Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id,scrap_date,scrap_time
1,USA,331431037,6967420,17,203828,4,4223693,,2539899,14084,21022,615,97310728,293608,1.0,2020-09-20,11:57
3,India,1382974770,5400619,2389,86774,,4303043,3319,1010802,8944,3905,63,63661060,46032,3.0,2020-09-20,11:57
2,Brazil,212892060,4528347,,136565,,3820095,,571687,8318,21271,641,15011116,70510,2.0,2020-09-20,11:57
4,Russia,145948421,1103399,6148,19418,79,909357,2895,174624,2300,7560,133,42800000,293254,4.0,2020-09-20,11:57
6,Peru,33071550,762865,,31369,,607837,,123659,1421,23067,949,3667968,110910,2.0,2020-09-20,11:57
8,Colombia,51001424,758398,,24039,,627685,,106674,863,14870,471,3364500,65969,2.0,2020-09-20,11:57
7,Mexico,129228908,694121,5167,73258,455,496224,4032,124639,2692,5371,567,1580377,12229,1.0,2020-09-20,11:57
5,South Africa,59471455,659656,,15940,,589434,,54282,539,11092,268,4024659,67674,5.0,2020-09-20,11:57
9,Spain,46758818,659334,,30495,,,,,1345,14101,652,10756835,230049,4.0,2020-09-20,11:57
12,Argentina,45286693,622934,,12799,,478077,,132058,3213,13755,283,1707947,37714,2.0,2020-09-20,11:57
10,Chile,19152218,444674,,12254,,418101,,14319,894,23218,640,3010713,157199,2.0,2020-09-20,11:57
19,France,65305619,442194,,31274,,91574,,319346,827,6771,479,10000000,153126,4.0,2020-09-20,11:57
11,Iran,84226863,419043,,24118,,357632,,37293,3893,4975,286,3719210,44157,3.0,2020-09-20,11:57
13,UK,67964812,390358,,41759,,,,,138,5744,614,21368297,314402,4.0,2020-09-20,11:57
15,Bangladesh,165048500,347372,,4913,,254386,,88073,,2105,30,1809679,10965,3.0,2020-09-20,11:57
14,Saudi Arabia,34931142,329271,,4458,,309430,,15383,1166,9426,128,6009916,172050,3.0,2020-09-20,11:57
21,Iraq,40414796,315597,,8491,,249539,,57567,536,7809,210,2039024,50452,3.0,2020-09-20,11:57
16,Pakistan,221812336,305671,640,6416,1,292303,259,6952,562,1378,29,3160924,14250,3.0,2020-09-20,11:57
18,Turkey,84537372,301348,,7445,,266117,,27786,1432,3565,88,9173694,108516,3.0,2020-09-20,11:57
17,Italy,60441922,296569,,35692,,217716,,43161,215,4907,591,10349386,171229,4.0,2020-09-20,11:57
22,Philippines,109898076,286743,3311,4984,55,229865,20021,51894,1048,2609,45,3330409,30305,3.0,2020-09-20,11:57
20,Germany,83843383,272308,,9466,,243500,,19342,246,3248,113,14557136,173623,4.0,2020-09-20,11:57
23,Indonesia,274155866,244676,3989,9553,105,177327,2977,57796,,892,35,2885895,10526,3.0,2020-09-20,11:57
30,Israel,9197590,183602,,1226,,132449,,49927,604,19962,133,3032739,329732,3.0,2020-09-20,11:57
28,Ukraine,43674438,175678,2966,3557,41,77512,758,94609,177,4022,81,2014923,46135,4.0,2020-09-20,11:57
24,Canada,37814761,142774,,9211,,124187,,9376,82,3776,244,6554147,173322,1.0,2020-09-20,11:57
26,Bolivia,11707604,130470,419,7586,36,89032,575,33852,71,11144,648,286864,24502,2.0,2020-09-20,11:57
27,Ecuador,17701050,125620,,11084,,97063,,17473,379,7097,626,384106,21700,2.0,2020-09-20,11:57
25,Qatar,2807805,123146,,209,,120089,,2848,58,43858,74,719057,256092,3.0,2020-09-20,11:57
38,Romania,19208680,111550,,4402,,89119,,18029,461,5807,229,2210071,115056,4.0,2020-09-20,11:57
32,Dominican Republic,10871716,107700,,2044,,80820,,24836,210,9906,188,442354,40689,1.0,2020-09-20,11:57
29,Kazakhstan,18825661,107262,63,1671,,101877,55,3714,221,5698,89,2733455,145198,3.0,2020-09-20,11:57
34,Panama,4329453,105601,,2247,,80190,,23164,144,24391,519,428842,99052,1.0,2020-09-20,11:57
31,Egypt,102748912,101900,,5750,,88666,,7484,41,992,56,135000,1314,5.0,2020-09-20,11:57
36,Belgium,11600789,100748,1099,9944,7,18945,37,71859,78,8685,857,2835780,244447,4.0,2020-09-20,11:57
49,Morocco,37005940,99816,,1795,,79008,,19013,274,2697,49,2366181,63941,5.0,2020-09-20,11:57
37,Kuwait,4284255,99049,,581,,89498,,8970,96,23119,136,705029,164563,3.0,2020-09-20,11:57
42,Netherlands,17143300,91934,,6275,,,,,64,5363,366,2042887,119165,4.0,2020-09-20,11:57
35,Oman,5134110,91753,,818,,84648,,6287,180,17871,159,309212,60227,3.0,2020-09-20,11:57
33,Sweden,10113153,88237,,5865,,,,,15,8725,580,1393161,137757,4.0,2020-09-20,11:57
40,Guatemala,17986797,85152,,3105,,74497,,7550,5,4734,173,289901,16117,1.0,2020-09-20,11:57
41,UAE,9916442,84242,,404,,73512,,10326,,8495,41,8665567,873858,3.0,2020-09-20,11:57
43,Poland,37837337,79240,910,2293,11,64302,441,12645,86,2094,61,3081867,81450,4.0,2020-09-20,11:57
44,Japan,126389518,78073,,1495,,70495,,6083,161,618,12,1831246,14489,3.0,2020-09-20,11:57
39,Belarus,9448629,75461,,776,,73212,,1473,,7986,82,1715380,181548,4.0,2020-09-20,11:57
47,Honduras,9938656,71143,532,2166,20,21810,661,47167,22,7158,218,169602,17065,1.0,2020-09-20,11:57
56,Ethiopia,115567112,68131,,1089,,27939,,39103,294,590,9,1194795,10339,5.0,2020-09-20,11:57
46,Portugal,10190035,68025,,1899,,45404,,20722,64,6676,186,2345680,230194,4.0,2020-09-20,11:57
57,Venezuela,28417855,65949,,539,,55155,,10255,146,2321,19,1897741,66780,2.0,2020-09-20,11:57
50,Bahrain,1713820,64499,,221,,57299,,6979,46,37635,129,1324002,772544,3.0,2020-09-20,11:57
61,Costa Rica,5104317,63712,,706,,23552,,39454,247,12482,138,196377,38473,1.0,2020-09-20,11:57
64,Nepal,29249569,62797,,401,,45267,,17129,,2147,14,904706,30931,3.0,2020-09-20,11:57
45,Singapore,5860456,57576,18,27,,57142,,407,,9824,5,2498073,426259,3.0,2020-09-20,11:57
48,Nigeria,207222376,57145,,1095,,48431,,7619,7,276,5,482321,2328,5.0,2020-09-20,11:57
58,Uzbekistan,33574364,51235,243,429,2,47271,,3535,267,1526,13,1377915,41041,3.0,2020-09-20,11:57
54,Algeria,44021396,49623,,1665,,34923,,13035,31,1127,38,,,5.0,2020-09-20,11:57
55,Switzerland,8668550,49283,,2045,,40500,,6738,29,5685,236,1251614,144386,4.0,2020-09-20,11:57
70,Czechia,10713401,48306,,499,,24228,,23579,91,4509,47,1170742,109278,4.0,2020-09-20,11:57
53,Armenia,2964475,47431,277,930,2,42608,57,3893,,16000,314,263608,88922,3.0,2020-09-20,11:57
62,Moldova,4031861,46336,,1201,,34236,,10899,549,11492,298,246764,61203,4.0,2020-09-20,11:57
