scrap_date,scrap_time,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
2020-09-10,22:01,1,North America,7803202,+17914,285068,+1192,4716815,+17529,2801319,18549
2020-09-10,22:01,3,Asia,8226145,+125660,159043,+1827,6631227,+90907,1435875,19244
2020-09-10,22:01,2,South America,6876844,+14987,222709,+436,5575863,+11527,1078272,15028
2020-09-10,22:01,4,Europe,3951909,+42987,211550,+404,2209147,+11007,1531212,6357
2020-09-10,22:01,5,Africa,1332897,+4634,32047,+85,1067614,+3961,233236,1500
2020-09-10,22:01,6,Oceania,29665,+56,819,+7,25493,+182,3353,31
2020-09-10,22:01,7,World,28221383,+206238,911251,+3951,20226810,+135113,7083322,60713
