scrap_date,scrap_time,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
2020-09-16,21:01,1,North America,8103326,+20376,293121,+1223,4998665,+25660,2811540,17878
2020-09-16,21:01,3,Asia,8964870,+126153,169849,+1786,7269686,+102362,1525335,19589
2020-09-16,21:01,2,South America,7235351,+11995,231297,+310,5984934,+12307,1019120,15355
2020-09-16,21:01,4,Europe,4217166,+47710,214226,+678,2281155,+11140,1721785,6700
2020-09-16,21:01,5,Africa,1376988,+4257,33208,+82,1124933,+3670,218847,1424
2020-09-16,21:01,6,Oceania,30254,+46,859,+9,26378,+78,3017,23
2020-09-16,21:01,7,World,29928676,+210537,942575,+4088,21686402,+155217,7299699,60973
