,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
0,2020-10-03,22:24,1.0,USA,331499850.0,7578436,29113.0,213936.0,412.0,4803394.0,26570.0,2561106.0,14177.0,22861.0,645.0,109956179.0,331693.0,1.0
1,2020-10-03,22:24,3.0,India,1383456294.0,6547413,75479.0,101812.0,937.0,5506732.0,81655.0,938869.0,8944.0,4733.0,74.0,77850403.0,56272.0,3.0
2,2020-10-03,22:24,2.0,Brazil,212945646.0,4888926,6695.0,145555.0,124.0,4232593.0,,510778.0,8318.0,22959.0,684.0,17900000.0,84059.0,2.0
3,2020-10-03,22:24,4.0,Russia,145950636.0,1204502,9859.0,21251.0,174.0,975859.0,5563.0,207392.0,2300.0,8253.0,146.0,47247274.0,323721.0,4.0
4,2020-10-03,22:24,8.0,Colombia,51020676.0,841531,,26397.0,,753953.0,,61181.0,2220.0,16494.0,517.0,3818824.0,74849.0,2.0
5,2020-10-03,22:24,6.0,Peru,33087868.0,821564,,32609.0,,695645.0,,93310.0,1331.0,24830.0,986.0,3922567.0,118550.0,2.0
6,2020-10-03,22:24,9.0,Spain,46759459.0,810807,,32086.0,,,,,1566.0,17340.0,686.0,12723989.0,272116.0,4.0
7,2020-10-03,22:24,12.0,Argentina,45301410.0,779689,,20599.0,,614515.0,,144575.0,3828.0,17211.0,455.0,2030512.0,44822.0,2.0
8,2020-10-03,22:24,7.0,Mexico,129276993.0,753090,4775.0,78492.0,414.0,541518.0,4043.0,133080.0,2522.0,5825.0,607.0,1983157.0,15340.0,1.0
9,2020-10-03,22:24,5.0,South Africa,59498013.0,677833,,16909.0,,611044.0,,49880.0,539.0,11393.0,284.0,4229709.0,71090.0,5.0
10,2020-10-03,22:24,19.0,France,65310735.0,606625,16972.0,32198.0,49.0,97778.0,,476649.0,1276.0,9288.0,493.0,11174392.0,171096.0,4.0
11,2020-10-03,22:24,10.0,Chile,19158040.0,468471,1881.0,12919.0,52.0,440881.0,1274.0,14671.0,849.0,24453.0,674.0,3430220.0,179049.0,2.0
12,2020-10-03,22:24,11.0,Iran,84265047.0,468119,3523.0,26746.0,179.0,387675.0,2411.0,53698.0,4127.0,5555.0,317.0,4095161.0,48599.0,3.0
13,2020-10-03,22:24,13.0,UK,67977452.0,467146,,42268.0,,,,,341.0,6872.0,622.0,25048460.0,368482.0,4.0
14,2020-10-03,22:24,21.0,Iraq,40446933.0,375931,3672.0,9347.0,49.0,303665.0,3861.0,62919.0,538.0,9294.0,231.0,2330386.0,57616.0,3.0
15,2020-10-03,22:24,15.0,Bangladesh,165106733.0,367565,1182.0,5325.0,20.0,280069.0,1442.0,82171.0,,2226.0,32.0,1979805.0,11991.0,3.0
16,2020-10-03,22:24,14.0,Saudi Arabia,34950413.0,335997,419.0,4850.0,27.0,320974.0,626.0,10173.0,954.0,9614.0,139.0,6638679.0,189946.0,3.0
17,2020-10-03,22:24,18.0,Turkey,84569589.0,323014,1502.0,8384.0,59.0,283868.0,1211.0,30762.0,1470.0,3820.0,99.0,10711883.0,126664.0,3.0
18,2020-10-03,22:24,17.0,Italy,60438776.0,322751,2844.0,35968.0,27.0,231217.0,1247.0,55566.0,297.0,5340.0,595.0,11691391.0,193442.0,4.0
19,2020-10-03,22:24,22.0,Philippines,109949885.0,319330,2674.0,5678.0,62.0,255046.0,459.0,58606.0,1758.0,2904.0,52.0,3837101.0,34899.0,3.0
20,2020-10-03,22:24,16.0,Pakistan,221964934.0,313984,553.0,6507.0,8.0,298593.0,538.0,8884.0,511.0,1415.0,29.0,3615244.0,16287.0,3.0
21,2020-10-03,22:24,20.0,Germany,83852873.0,299533,1170.0,9597.0,1.0,259500.0,,30436.0,373.0,3572.0,114.0,16999253.0,202727.0,4.0
22,2020-10-03,22:24,23.0,Indonesia,274258537.0,299506,4007.0,11055.0,83.0,225052.0,3712.0,63399.0,,1092.0,40.0,3451398.0,12584.0,3.0
23,2020-10-03,22:24,30.0,Israel,9197590.0,263983,5063.0,1679.0,46.0,190397.0,5275.0,71907.0,839.0,28701.0,183.0,3684411.0,400584.0,3.0
24,2020-10-03,22:24,28.0,Ukraine,43665155.0,222322,4661.0,4353.0,92.0,98737.0,2146.0,119232.0,177.0,5092.0,100.0,2308415.0,52866.0,4.0
25,2020-10-03,22:24,24.0,Canada,37826502.0,164419,1760.0,9460.0,51.0,138844.0,1230.0,16115.0,126.0,4347.0,250.0,7490205.0,198015.0,1.0
26,2020-10-03,22:24,27.0,Ecuador,17710572.0,139534,,11495.0,,112296.0,,15743.0,370.0,7879.0,649.0,446706.0,25223.0,2.0
27,2020-10-03,22:24,26.0,Bolivia,11713261.0,136219,503.0,8045.0,44.0,96654.0,489.0,31520.0,71.0,11629.0,687.0,305112.0,26048.0,2.0
28,2020-10-03,22:24,38.0,Romania,19204146.0,134065,2064.0,4947.0,32.0,107058.0,1476.0,22060.0,583.0,6981.0,258.0,2496439.0,129995.0,4.0
29,2020-10-03,22:24,42.0,Netherlands,17144643.0,131889,3967.0,6449.0,21.0,,,,170.0,7693.0,376.0,2449577.0,142877.0,4.0
30,2020-10-03,22:24,49.0,Morocco,37021475.0,131228,2663.0,2293.0,30.0,108687.0,2643.0,20248.0,440.0,3545.0,62.0,2689136.0,72637.0,5.0
31,2020-10-03,22:24,25.0,Qatar,2807805.0,126339,175.0,216.0,1.0,123302.0,194.0,2821.0,58.0,44996.0,77.0,791424.0,281866.0,3.0
32,2020-10-03,22:24,36.0,Belgium,11602576.0,124234,3175.0,10037.0,14.0,19521.0,,94676.0,156.0,10707.0,865.0,3326787.0,286728.0,4.0
33,2020-10-03,22:24,34.0,Panama,4331867.0,113962,,2406.0,,90772.0,,20784.0,113.0,26308.0,555.0,493485.0,113920.0,1.0
34,2020-10-03,22:24,32.0,Dominican Republic,10875577.0,113926,576.0,2128.0,11.0,89635.0,795.0,22163.0,178.0,10475.0,196.0,488732.0,44938.0,1.0
35,2020-10-03,22:24,29.0,Kazakhstan,18833636.0,108106,62.0,1725.0,,103110.0,82.0,3271.0,221.0,5740.0,92.0,2964281.0,157393.0,3.0
36,2020-10-03,22:24,37.0,Kuwait,4286499.0,106458,371.0,620.0,5.0,98435.0,537.0,7403.0,129.0,24836.0,145.0,755765.0,176313.0,3.0
