scrap_date,scrap_time,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
2020-08-31,18:58,1,North America,7320778,+13175,270678,+503,4203671,+4085,2846429,20079
2020-08-31,18:58,2,South America,6246073,+2366,201250,+114,4842836,+10231,1201987,15210
2020-08-31,18:58,3,Asia,7039215,+46795,141826,+659,5640144,+40593,1257245,18828
2020-08-31,18:58,4,Europe,3568977,+13359,207589,+210,2071034,+5292,1290354,5679
2020-08-31,18:58,5,Africa,1251274,+899,29646,+10,980380,+384,241248,1270
2020-08-31,18:58,6,Oceania,28476,+85,681,+41,23415,+249,4380,41
2020-08-31,18:58,7,World,25455514,+76679,851685,+1537,17762131,+60834,6841698,61111
