<<<<<<< HEAD
Scrap_time,Update_time_GMT,Date,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-09-04 07:01:00,,2020-09-04,1,North America,7516422,6668.0,277006,546.0,4386808,5789.0,2852608,19116
2020-09-04 07:01:00,,2020-09-04,2,South America,6547061,853.0,208468,85.0,5171622,1810.0,1166971,15305
2020-09-04 07:01:00,,2020-09-04,3,Asia,7410094,814.0,147343,9.0,5947859,1227.0,1314892,18920
2020-09-04 07:01:00,,2020-09-04,4,Europe,3683594,633.0,208958,1.0,2113017,23.0,1361619,5922
2020-09-04 07:01:00,,2020-09-04,5,Africa,1281149,,30667,,1017753,,232729,1445
2020-09-04 07:01:00,,2020-09-04,6,Oceania,29050,94.0,766,59.0,24158,10.0,4126,38
2020-09-04 07:01:00,,2020-09-04,7,World,26468091,9062.0,873223,700.0,18661868,8859.0,6933000,60750
=======
Date,Scrap_time,Update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-09-04,07:01,,1,North America,7516422,6668.0,277006,546.0,4386808,5789.0,2852608,19116
2020-09-04,07:01,,2,South America,6547061,853.0,208468,85.0,5171622,1810.0,1166971,15305
2020-09-04,07:01,,3,Asia,7410094,814.0,147343,9.0,5947859,1227.0,1314892,18920
2020-09-04,07:01,,4,Europe,3683594,633.0,208958,1.0,2113017,23.0,1361619,5922
2020-09-04,07:01,,5,Africa,1281149,,30667,,1017753,,232729,1445
2020-09-04,07:01,,6,Oceania,29050,94.0,766,59.0,24158,10.0,4126,38
2020-09-04,07:01,,7,World,26468091,9062.0,873223,700.0,18661868,8859.0,6933000,60750
>>>>>>> parent of 6e0d6acf... Delete data directory
