,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,North America,"6,732,014","+10,353","252,857",+803,"3,753,183","+6,687","2,725,974","21,511",,
1,South America,"5,495,521","+2,031","182,008",+137,"4,088,142","+6,268","1,225,371","14,855",,
2,Asia,"5,973,153","+45,252","125,693",+773,"4,670,379","+36,687","1,177,081","19,111",,
3,Europe,"3,261,007","+13,170","204,442",+270,"1,950,506","+9,262","1,106,059","5,252",,
4,Africa,"1,152,518",+781,"26,714",+29,"874,882",+794,"250,922","1,196",,
5,Oceania,"26,511",+260,489,+13,"19,691","+2,694","6,331",59,,
7,World,"22,641,445","+71,847","792,218","+2,025","15,357,434","+62,392","6,491,793","61,988","2,905",101.6
