Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
169,Burundi,"11,947,482",445,,1,,357,,87,,37,0.08,"24,659","2,064",5.0,02.09.20,23:01
170,Comoros,"872,645",427,,7,,410,,10,,489,8,,,5.0,02.09.20,23:01
171,Faeroe Islands,"48,895",411,,,,374,,37,2,"8,406",,"97,762","1,999,427",4.0,02.09.20,23:01
175,Mauritius,"1,272,134",356,,10,,335,,11,,280,8,"227,409","178,762",5.0,02.09.20,23:01
176,Isle of Man,"85,110",336,,24,,312,,0,,"3,948",282,"10,070","118,317",4.0,02.09.20,23:01
178,Eritrea,"3,554,662",319,,,,284,,35,,90,,,,5.0,02.09.20,23:01
180,Mongolia,"3,287,097",306,+2,,,296,+1,10,1,93,,"54,897","16,701",3.0,02.09.20,23:01
182,Gibraltar,"33,689",295,+5,,,240,+3,55,,"8,757",,"35,256","1,046,514",4.0,02.09.20,23:01
181,Cambodia,"16,757,816",274,,,,266,,8,1,16,,"100,002","5,967",3.0,02.09.20,23:01
187,Bhutan,"773,046",227,+2,,,142,,85,,294,,"103,149","133,432",3.0,02.09.20,23:01
184,Saint Martin,"38,776",213,,5,,79,,129,11,"5,493",129,"2,756","71,075",1.0,02.09.20,23:01
183,Cayman Islands,"65,852",205,,1,,204,,0,,"3,113",15,"35,574","540,211",1.0,02.09.20,23:01
186,Barbados,"287,436",176,,7,,146,,23,,612,24,"17,332","60,299",1.0,02.09.20,23:01
185,Bermuda,"62,238",172,,9,,157,,6,,"2,764",145,"45,756","735,178",1.0,02.09.20,23:01
189,Brunei,"438,191",144,,3,,139,,2,,329,7,"52,185","119,092",3.0,02.09.20,23:01
188,Monaco,"39,290",140,,1,,90,,49,1,"3,563",25,"51,953","1,322,296",4.0,02.09.20,23:01
190,Seychelles,"98,451",136,,,,127,,9,,"1,381",,,,5.0,02.09.20,23:01
191,Liechtenstein,"38,147",107,,1,,97,,9,,"2,805",26,900,"23,593",4.0,02.09.20,23:01
192,Antigua and Barbuda,"98,067",94,,3,,91,,0,1,959,31,"1,946","19,844",1.0,02.09.20,23:01
195,Curaçao,"164,209",71,+2,1,,35,,35,,432,6,"1,080","6,577",1.0,02.09.20,23:01
193,St. Vincent Grenadines,"111,001",61,,,,57,,4,,550,,"3,805","34,279",1.0,02.09.20,23:01
202,British Virgin Islands,"30,265",47,,1,,8,,38,,"1,553",33,"2,853","94,267",1.0,02.09.20,23:01
194,Macao,"650,822",46,,,,46,,0,,71,,"4,071","6,255",3.0,02.09.20,23:01
196,Fiji,"897,556",29,,2,,23,,4,1,32,2,"7,986","8,897",,02.09.20,23:01
198,Timor-Leste,"1,322,599",27,,,,25,,2,,20,,"5,146","3,891",3.0,02.09.20,23:01
197,Saint Lucia,"183,772",26,,,,26,+1,0,,141,,"5,651","30,750",1.0,02.09.20,23:01
199,Grenada,"112,613",24,,,,24,,0,,213,,"6,252","55,518",1.0,02.09.20,23:01
200,New Caledonia,"285,964",23,,,,23,,0,,80,,"12,618","44,124",,02.09.20,23:01
201,Laos,"7,293,253",22,,,,21,,1,,3,,"39,696","5,443",3.0,02.09.20,23:01
203,Dominica,"72,017",20,,,,18,,2,,278,,"2,077","28,840",1.0,02.09.20,23:01
205,St. Barth,"9,882",18,,,,13,,5,,"1,821",,"2,075","209,978",1.0,02.09.20,23:01
204,Saint Kitts and Nevis,"53,263",17,,,,17,,0,,319,,"1,564","29,364",1.0,02.09.20,23:01
208,Caribbean Netherlands,"26,264",16,,,,7,,9,,609,,900,"34,267",1.0,02.09.20,23:01
206,Greenland,"56,787",14,,,,14,,0,,247,,"6,727","118,460",1.0,02.09.20,23:01
207,Montserrat,"4,993",13,,1,,12,,0,,"2,604",200,328,"65,692",1.0,02.09.20,23:01
209,Falkland Islands,"3,496",13,,,,13,,0,,"3,719",,"2,256","645,309",2.0,02.09.20,23:01
210,Vatican City,801,12,,,,12,,0,,"14,981",,,,4.0,02.09.20,23:01
211,Western Sahara,"599,728",10,,1,,8,,1,,17,2,,,5.0,02.09.20,23:01
212,MS Zaandam,,9,,2,,,,7,,,,,,,02.09.20,23:01
213,Saint Pierre Miquelon,"5,789",5,,,,4,,1,,864,,"1,051","181,551",1.0,02.09.20,23:01
214,Anguilla,"15,026",3,,,,3,,0,,200,,808,"53,773",1.0,02.09.20,23:01
215,China,"1,439,323,776","85,066",+8,"4,634",,"80,234",+26,198,4,59,3,"160,000,000","111,163",3.0,02.09.20,23:01
