Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
1,USA,"331,303,997","6,032,032","+31,667","184,362",+709,"3,327,938","+14,077","2,519,732","16,380","18,207",556,"79,199,891","239,055",1.0,27.08.20,23:00
2,Brazil,"212,793,132","3,731,022","+9,018","117,996",+240,"2,908,848",,"704,178","8,318","17,534",555,"14,172,764","66,603",2.0,27.08.20,23:00
3,India,"1,382,085,803","3,384,575","+76,826","61,694","+1,065","2,583,063","+59,620","739,818","8,944","2,449",45,"38,576,510","27,912",3.0,27.08.20,23:00
4,Russia,"145,944,331","975,576","+4,711","16,804",+121,"792,561","+6,411","166,211","2,300","6,685",115,"35,400,000","242,558",4.0,27.08.20,23:00
5,South Africa,"59,422,425","618,286","+2,585","13,628",+126,"531,338","+6,096","73,320",539,"10,405",229,"3,617,982","60,886",5.0,27.08.20,23:00
6,Peru,"33,041,424","613,378",,"28,124",,"421,877",,"163,377","1,512","18,564",851,"3,055,850","92,485",2.0,27.08.20,23:00
7,Mexico,"129,140,136","573,888","+5,267","62,076",+626,"396,758","+3,657","115,054","3,305","4,444",481,"1,291,083","9,998",1.0,27.08.20,23:00
8,Colombia,"50,965,881","572,270",,"18,184",,"407,121",,"146,965","1,493","11,228",357,"2,582,612","50,673",2.0,27.08.20,23:00
9,Spain,"46,757,635","451,792","+3,781","28,996",+25,,,,715,"9,662",620,"8,517,446","182,162",4.0,27.08.20,23:00
10,Chile,"19,141,470","404,102","+1,737","11,072",+82,"377,922","+1,654","15,108","1,012","21,111",578,"2,303,242","120,327",2.0,27.08.20,23:00
12,Argentina,"45,259,525","370,188",,"7,944",+105,"274,458","+5,657","87,786","2,022","8,179",176,"1,172,811","25,913",2.0,27.08.20,23:00
11,Iran,"84,156,368","367,796","+2,190","21,137",+117,"316,638","+1,768","30,021","3,822","4,370",251,"3,138,782","37,297",3.0,27.08.20,23:00
13,UK,"67,941,476","330,368","+1,522","41,477",+12,,,,64,"4,863",610,"16,273,209","239,518",4.0,27.08.20,23:00
14,Saudi Arabia,"34,895,566","311,855","+1,019","3,785",+30,"286,255","+1,310","21,815","1,582","8,937",108,"4,792,192","137,330",3.0,27.08.20,23:00
15,Bangladesh,"164,940,992","304,583","+2,436","4,127",+45,"193,458","+3,275","106,998",,"1,847",25,"1,500,385","9,096",3.0,27.08.20,23:00
16,Pakistan,"221,530,617","294,638",+445,"6,274",+7,"279,561",+622,"8,803",641,"1,330",28,"2,535,778","11,447",3.0,27.08.20,23:00
18,Turkey,"84,477,895","263,998","+1,491","6,209",+26,"240,792",+995,"16,997",862,"3,125",73,"6,727,860","79,640",3.0,27.08.20,23:00
17,Italy,"60,447,728","263,949","+1,411","35,463",+5,"206,554",+225,"21,932",67,"4,367",587,"8,313,445","137,531",4.0,27.08.20,23:00
19,France,"65,296,176","259,698","+6,111","30,576",+32,"85,984",+460,"143,138",381,"3,977",468,"6,000,000","91,889",4.0,27.08.20,23:00
20,Germany,"83,825,861","240,100","+1,100","9,359",+7,"214,233",,"16,508",245,"2,864",112,"11,208,091","133,707",4.0,27.08.20,23:00
21,Iraq,"40,355,467","219,435","+3,651","6,740",+72,"161,009","+3,794","51,686",566,"5,438",167,"1,524,864","37,786",3.0,27.08.20,23:00
22,Philippines,"109,802,427","205,581","+3,249","3,234",+97,"133,990",+566,"68,357",841,"1,872",29,"2,437,423","22,198",3.0,27.08.20,23:00
23,Indonesia,"273,966,320","162,884","+2,719","7,064",+120,"118,575","+3,166","37,245",,595,26,"2,136,416","7,798",3.0,27.08.20,23:00
24,Canada,"37,793,085","126,646",+229,"9,098",+4,"112,619",+164,"4,929",45,"3,351",241,"5,246,341","138,817",1.0,27.08.20,23:00
25,Qatar,"2,807,805","117,988",+246,195,+1,"114,797",+239,"2,996",66,"42,021",69,"609,258","216,987",3.0,27.08.20,23:00
26,Bolivia,"11,697,161","112,094","+1,095","4,726",+62,"50,397","+1,522","56,971",71,"9,583",404,"239,073","20,439",2.0,27.08.20,23:00
28,Ukraine,"43,691,576","112,059","+1,974","2,403",+49,"54,217",+763,"55,439",177,"2,565",55,"1,452,006","33,233",4.0,27.08.20,23:00
27,Ecuador,"17,683,472","111,219",+670,"6,471",+61,"95,202",+105,"9,546",370,"6,289",366,"319,537","18,070",2.0,27.08.20,23:00
30,Israel,"9,197,590","110,186","+1,783",883,+8,"87,714","+1,248","21,589",410,"11,980",96,"2,217,857","241,135",3.0,27.08.20,23:00
29,Kazakhstan,"18,810,937","105,243",+168,"1,523",,"94,713",+723,"9,007",221,"5,595",81,"2,434,444","129,416",3.0,27.08.20,23:00
31,Egypt,"102,622,155","97,825",,"5,317",,"68,713",,"23,795",41,953,52,"135,000","1,316",5.0,27.08.20,23:00
32,Dominican Republic,"10,864,588","92,964",+407,"1,630",+17,"64,347",+869,"26,987",226,"8,557",150,"358,533","33,000",1.0,27.08.20,23:00
34,Panama,"4,324,996","89,082",,"1,932",,"63,595",,"23,555",153,"20,597",447,"317,156","73,331",1.0,27.08.20,23:00
35,Oman,"5,125,566","85,005",+187,650,+4,"79,608",+199,"4,747",153,"16,585",127,"309,212","60,327",3.0,27.08.20,23:00
33,Sweden,"10,109,031","83,898",,"5,820",+5,,,,21,"8,299",576,"1,094,856","108,305",4.0,27.08.20,23:00
38,Romania,"19,217,049","83,150","+1,504","3,459",+38,"36,677",+391,"43,014",492,"4,327",180,"1,730,420","90,046",4.0,27.08.20,23:00
36,Belgium,"11,597,489","83,030",+583,"9,879",+1,"18,331",+40,"54,820",85,"7,159",852,"2,189,246","188,769",4.0,27.08.20,23:00
37,Kuwait,"4,280,111","82,945",+674,522,+1,"74,522",+616,"7,901",97,"19,379",122,"603,604","141,025",3.0,27.08.20,23:00
40,Guatemala,"17,965,034","71,856","+1,142","2,685",+23,"59,641",+858,"9,530",5,"4,000",149,"233,685","13,008",1.0,27.08.20,23:00
39,Belarus,"9,448,832","71,165",+191,662,+5,"69,650",+272,853,,"7,532",70,"1,497,421","158,477",4.0,27.08.20,23:00
42,Netherlands,"17,140,821","68,624",+510,"6,218",+3,,,,36,"4,004",363,"1,455,274","84,901",4.0,27.08.20,23:00
41,UAE,"9,908,607","68,511",+491,378,,"59,472",+402,"8,661",,"6,914",38,"6,755,457","681,777",3.0,27.08.20,23:00
43,Poland,"37,840,045","64,689",+887,"2,010",+16,"44,097",+698,"18,582",82,"1,710",53,"2,577,726","68,122",4.0,27.08.20,23:00
44,Japan,"126,414,795","63,822",,"1,209",,"51,688",,"10,925",246,505,10,"1,376,783","10,891",3.0,27.08.20,23:00
49,Morocco,"36,977,259","57,085","+1,221","1,011",+27,"41,901","+1,315","14,173",31,"1,544",27,"1,846,260","49,930",5.0,27.08.20,23:00
46,Portugal,"10,191,976","56,673",+399,"1,809",+2,"41,357",+173,"13,507",35,"5,561",177,"1,958,651","192,176",4.0,27.08.20,23:00
47,Honduras,"9,928,318","56,649",+772,"1,747",+44,"9,169",+45,"45,733",47,"5,706",176,"135,216","13,619",1.0,27.08.20,23:00
45,Singapore,"5,857,443","56,572",+77,27,,"55,139",+168,"1,406",,"9,658",5,"1,832,813","312,903",3.0,27.08.20,23:00
48,Nigeria,"206,886,335","53,021",,"1,010",,"40,281",,"11,730",7,256,5,"388,346","1,877",5.0,27.08.20,23:00
50,Bahrain,"1,709,919","50,393",,187,+1,"47,049",,"3,157",30,"29,471",109,"1,067,907","624,537",3.0,27.08.20,23:00
56,Ethiopia,"115,379,816","46,407","+1,186",745,+20,"16,829",+518,"28,833",330,402,6,"831,470","7,206",5.0,27.08.20,23:00
51,Ghana,"31,168,998","43,841",+72,270,,"42,246",+198,"1,325",5,"1,407",9,"437,750","14,044",5.0,27.08.20,23:00
52,Kyrgyzstan,"6,540,366","43,459",+101,"1,057",,"37,492",+275,"4,910",24,"6,645",162,"267,718","40,933",3.0,27.08.20,23:00
53,Armenia,"2,964,113","43,270",+203,864,+3,"36,988",+262,"5,418",,"14,598",291,"200,507","67,645",3.0,27.08.20,23:00
