Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
1,USA,"331,293,410","5,935,231","+19,601","181,822",+708,"3,228,785","+10,804","2,524,624","16,452","17,915",549,"77,367,087","233,530",1.0,25.08.20,23:00
2,Brazil,"212,784,888","3,636,167","+8,950","115,646",+195,"2,778,709",,"741,812","8,318","17,088",543,"14,144,344","66,473",2.0,25.08.20,23:00
3,India,"1,382,011,722","3,231,522","+66,641","59,608","+1,062","2,467,220","+64,119","704,694","8,944","2,338",43,"36,827,520","26,648",3.0,25.08.20,23:00
4,Russia,"145,943,991","966,189","+4,696","16,568",+120,"779,747","+6,652","169,874","2,300","6,620",114,"34,800,000","238,448",4.0,25.08.20,23:00
5,South Africa,"59,418,339","611,450",,"13,159",,"516,494",,"81,797",539,"10,291",221,"3,564,065","59,983",5.0,25.08.20,23:00
6,Peru,"33,038,913","600,438",,"27,813",,"407,301",,"165,324","1,525","18,174",842,"3,006,993","91,014",2.0,25.08.20,23:00
7,Mexico,"129,132,739","563,705","+3,541","60,800",+320,"389,124","+5,252","113,781","3,346","4,365",471,"1,263,835","9,787",1.0,25.08.20,23:00
8,Colombia,"50,962,919","551,696",,"17,612",,"384,171",,"149,913","1,493","10,825",346,"2,508,972","49,231",2.0,25.08.20,23:00
9,Spain,"46,757,536","423,224","+2,415","28,924",+52,,,,677,"9,051",619,"8,517,446","182,162",4.0,25.08.20,23:00
10,Chile,"19,140,575","400,985","+1,417","10,958",+42,"374,463","+1,999","15,564","1,011","20,949",573,"2,255,966","117,863",2.0,25.08.20,23:00
11,Iran,"84,150,494","363,363","+2,213","20,901",+125,"313,058","+1,693","29,404","3,839","4,318",248,"3,883,313","46,147",3.0,25.08.20,23:00
12,Argentina,"45,257,261","350,867",,"7,402",+36,"263,202","+6,413","80,263","1,960","7,753",164,"1,127,098","24,904",2.0,25.08.20,23:00
13,UK,"67,939,531","327,798","+1,184","41,449",+16,,,,72,"4,825",610,"15,177,265","223,394",4.0,25.08.20,23:00
14,Saudi Arabia,"34,892,601","309,768","+1,114","3,722",+31,"283,932","+1,044","22,114","1,639","8,878",107,"4,792,192","137,341",3.0,25.08.20,23:00
15,Bangladesh,"164,932,033","299,628","+2,545","4,028",+45,"186,756","+3,881","108,844",,"1,817",24,"1,470,191","8,914",3.0,25.08.20,23:00
16,Pakistan,"221,507,141","293,711",+450,"6,255",+11,"278,425","+1,596","9,031",672,"1,326",28,"2,487,744","11,231",3.0,25.08.20,23:00
18,Turkey,"84,472,939","261,194","+1,502","6,163",+24,"238,795",+887,"16,236",811,"3,092",73,"6,521,640","77,204",3.0,25.08.20,23:00
17,Italy,"60,448,212","261,174",+876,"35,445",+4,"206,015",+353,"19,714",66,"4,321",586,"8,125,892","134,427",4.0,25.08.20,23:00
19,France,"65,295,389","248,158","+3,304","30,544",+16,"85,524",+325,"132,090",410,"3,801",468,"6,000,000","91,890",4.0,25.08.20,23:00
20,Germany,"83,824,401","237,238","+1,121","9,342",+6,"209,600",,"18,296",245,"2,830",111,"10,197,366","121,652",4.0,25.08.20,23:00
21,Iraq,"40,350,522","211,947","+3,962","6,596",+77,"153,761","+3,372","51,590",574,"5,253",163,"1,482,187","36,733",3.0,25.08.20,23:00
22,Philippines,"109,794,456","197,164","+2,965","3,038",+34,"132,396",+368,"61,730",717,"1,796",28,"2,378,069","21,659",3.0,25.08.20,23:00
23,Indonesia,"273,950,524","157,859","+2,447","6,858",+99,"112,867","+1,807","38,134",,576,25,"2,056,166","7,506",3.0,25.08.20,23:00
24,Canada,"37,791,278","125,810",+163,"9,086",+3,"111,862",+168,"4,862",62,"3,329",240,"5,169,166","136,782",1.0,25.08.20,23:00
25,Qatar,"2,807,805","117,498",+232,194,,"114,318",+219,"2,986",68,"41,847",69,"599,447","213,493",3.0,25.08.20,23:00
26,Bolivia,"11,696,291","110,148",+999,"4,578",+69,"47,050","+1,654","58,520",71,"9,417",391,"234,304","20,032",2.0,25.08.20,23:00
27,Ecuador,"17,682,007","109,030",+741,"6,368",+46,"95,025",+147,"7,637",386,"6,166",360,"311,310","17,606",2.0,25.08.20,23:00
28,Ukraine,"43,693,004","108,415","+1,658","2,318",+25,"52,870",,"53,227",177,"2,481",53,"1,436,206","32,870",4.0,25.08.20,23:00
30,Israel,"9,197,590","106,245","+1,773",858,+11,"83,810","+2,168","21,577",427,"11,551",93,"2,180,096","237,029",3.0,25.08.20,23:00
29,Kazakhstan,"18,809,710","104,902",+184,"1,523",,"93,405",+807,"9,974",221,"5,577",81,"2,291,327","121,816",3.0,25.08.20,23:00
31,Egypt,"102,611,592","97,478",,"5,280",,"66,817",,"25,381",41,950,51,"135,000","1,316",5.0,25.08.20,23:00
32,Dominican Republic,"10,863,994","92,217",+609,"1,585",+12,"62,460",+902,"28,172",242,"8,488",146,"350,033","32,220",1.0,25.08.20,23:00
34,Panama,"4,324,625","87,485",,"1,906",,"62,185",,"23,394",154,"20,229",441,"308,435","71,321",1.0,25.08.20,23:00
33,Sweden,"10,108,688","86,891",,"5,814",+5,,,,22,"8,596",575,"1,030,010","101,894",4.0,25.08.20,23:00
35,Oman,"5,124,854","84,652",+143,642,+5,"79,147",+235,"4,863",151,"16,518",125,"309,212","60,336",3.0,25.08.20,23:00
36,Belgium,"11,597,214","82,092",+156,"9,996",+4,"18,242",+17,"53,854",89,"7,079",862,"2,144,563","184,921",4.0,25.08.20,23:00
37,Kuwait,"4,279,766","81,573",+613,519,+1,"73,402",+477,"7,652",95,"19,060",121,"595,049","139,038",3.0,25.08.20,23:00
38,Romania,"19,217,747","80,390","+1,060","3,367",+58,"35,816",+299,"41,207",490,"4,183",175,"1,679,614","87,399",4.0,25.08.20,23:00
39,Belarus,"9,448,849","70,727",+82,652,+6,"69,097",+172,978,,"7,485",69,"1,480,047","156,638",4.0,25.08.20,23:00
40,Guatemala,"17,963,221","69,651","+1,118","2,630",+19,"57,891",+156,"9,130",5,"3,877",146,"225,758","12,568",1.0,25.08.20,23:00
41,UAE,"9,907,954","67,621",+339,377,+1,"58,754",+172,"8,490",,"6,825",38,"6,629,995","669,159",3.0,25.08.20,23:00
42,Netherlands,"17,140,615","67,543",+415,"6,207",+5,,,,55,"3,941",362,"1,455,274","84,902",4.0,25.08.20,23:00
43,Poland,"37,840,271","63,073",+763,"1,977",+17,"42,784",+336,"18,312",76,"1,667",52,"2,577,726","68,121",4.0,25.08.20,23:00
44,Japan,"126,416,901","62,507",,"1,181",,"49,340",,"11,986",259,494,9,"1,333,884","10,551",3.0,25.08.20,23:00
45,Singapore,"5,857,192","56,435",+31,27,,"54,816",+229,"1,592",,"9,635",5,"1,745,928","298,083",3.0,25.08.20,23:00
46,Portugal,"10,192,137","55,912",+192,"1,805",+4,"41,021",+141,"13,086",41,"5,486",177,"1,945,123","190,845",4.0,25.08.20,23:00
47,Honduras,"9,927,457","55,479",+968,"1,683",+29,"8,556",+24,"45,240",47,"5,588",170,"135,216","13,620",1.0,25.08.20,23:00
49,Morocco,"36,974,869","54,528","+1,276",955,+35,"38,293",+815,"15,280",31,"1,475",26,"1,802,170","48,740",5.0,25.08.20,23:00
48,Nigeria,"206,858,331","52,548",,"1,004",,"39,257",,"12,287",7,254,5,"379,542","1,835",5.0,25.08.20,23:00
50,Bahrain,"1,709,594","49,719",,186,+1,"46,311",,"3,222",33,"29,082",109,"1,048,935","613,558",3.0,25.08.20,23:00
51,Ghana,"31,165,447","43,717",+95,270,+7,"41,843",+148,"1,604",5,"1,403",9,"436,253","13,998",5.0,25.08.20,23:00
56,Ethiopia,"115,364,208","43,688","+1,545",709,+17,"15,796",+534,"27,183",290,379,6,"794,686","6,888",5.0,25.08.20,23:00
52,Kyrgyzstan,"6,539,777","43,245",+119,"1,057",,"36,925",+310,"5,263",24,"6,613",162,"267,718","40,937",3.0,25.08.20,23:00
53,Armenia,"2,964,083","42,936",+111,858,+4,"36,475",+426,"5,603",,"14,485",289,"196,873","66,420",3.0,25.08.20,23:00
54,Algeria,"43,965,072","42,228",+370,"1,456",+10,"29,369",,"11,403",41,960,33,,,5.0,25.08.20,23:00
57,Venezuela,"28,423,554","40,338",,337,,"31,080",,"8,921",86,"1,419",12,"1,706,093","60,024",2.0,25.08.20,23:00
