scrap_date,scrap_time,update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-09-28,22:00,,1,North America,8756506,20261,307809,322,5594900,24284,2853797,17387
2020-09-28,22:00,,3,Asia,10387399,91519,190858,1336,8687817,99931,1508724,20711
2020-09-28,22:00,,2,South America,7925731,6633,248910,188,6743436,1733,933385,17210
2020-09-28,22:00,,4,Europe,4897060,38015,220821,416,2497464,8359,2178775,8463
2020-09-28,22:00,,5,Africa,1471620,4065,35295,80,1216537,3492,219788,1561
2020-09-28,22:00,,6,Oceania,31047,4,915,3,28334,48,1798,21
2020-09-28,22:00,,7,World,33470084,160497,1004623,2345,24769139,137847,7696322,65357
