scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-09-09,22:01,84,Zambia,18476730,13112,160.0,300,3.0,11839.0,52.0,973.0,,710,16,126138.0,6827.0,5.0
2020-09-09,22:01,97,Croatia,4100306,12626,341.0,206,3.0,9833.0,280.0,2587.0,24.0,3079,50,201138.0,49054.0,4.0
2020-09-09,22:01,92,Greece,10413105,12080,248.0,293,3.0,3804.0,,7983.0,46.0,1160,28,1066305.0,102400.0,4.0
2020-09-09,22:01,86,Norway,5429288,11685,61.0,264,,9348.0,,2073.0,1.0,2152,49,831064.0,153071.0,4.0
2020-09-09,22:01,94,Albania,2877188,10704,151.0,322,1.0,6284.0,45.0,4098.0,19.0,3720,112,66011.0,22943.0,4.0
2020-09-09,22:01,87,DRC,90048792,10324,32.0,260,,9523.0,22.0,541.0,,115,3,,,5.0
2020-09-09,22:01,89,Guinea,13197140,9848,,63,,9009.0,,776.0,24.0,746,5,26775.0,2029.0,5.0
2020-09-09,22:01,105,Hungary,9655582,9715,411.0,628,2.0,3984.0,12.0,5103.0,13.0,1006,65,495481.0,51315.0,4.0
2020-09-09,22:01,88,Malaysia,32443761,9583,24.0,128,,9143.0,7.0,312.0,7.0,295,4,1332917.0,41084.0,3.0
2020-09-09,22:01,90,French Guiana,300085,9387,,62,,8946.0,,379.0,7.0,31281,207,57250.0,190779.0,2.0
2020-09-09,22:01,102,Namibia,2549419,9108,180.0,93,2.0,4640.0,659.0,4375.0,13.0,3573,36,74093.0,29063.0,5.0
2020-09-09,22:01,93,Tajikistan,9576830,8899,39.0,71,1.0,7683.0,33.0,1145.0,,929,7,,,3.0
2020-09-09,22:01,100,Maldives,542308,8834,93.0,31,2.0,6288.0,131.0,2515.0,12.0,16290,57,124966.0,230434.0,3.0
2020-09-09,22:01,91,Gabon,2235312,8608,,53,,7533.0,,1022.0,2.0,3851,24,127759.0,57155.0,5.0
2020-09-09,22:01,96,Finland,5542378,8430,93.0,337,1.0,7500.0,150.0,593.0,1.0,1521,61,768700.0,138695.0,4.0
2020-09-09,22:01,95,Haiti,11428634,8384,8.0,214,,5991.0,,2179.0,,734,19,24862.0,2175.0,1.0
2020-09-09,22:01,101,Zimbabwe,14903319,7388,,218,,5477.0,,1693.0,,496,15,152262.0,10217.0,5.0
2020-09-09,22:01,99,Mauritania,4671785,7165,,160,,6681.0,,324.0,3.0,1534,34,69937.0,14970.0,5.0
2020-09-09,22:01,98,Luxembourg,627871,6974,,124,,6256.0,,594.0,,11107,197,694495.0,1106111.0,4.0
2020-09-09,22:01,109,Montenegro,628081,5875,,112,,4312.0,,1451.0,,9354,178,53650.0,85419.0,4.0
2020-09-09,22:01,103,Malawi,19219556,5653,23.0,176,,3630.0,,1847.0,4.0,294,9,47351.0,2464.0,5.0
2020-09-09,22:01,123,Tunisia,11841944,5417,,96,,1862.0,,3459.0,26.0,457,8,162200.0,13697.0,5.0
2020-09-09,22:01,104,Djibouti,990683,5391,3.0,61,,5327.0,,3.0,,5442,62,70111.0,70770.0,5.0
2020-09-09,22:01,106,Equatorial Guinea,1411179,4985,,83,,4454.0,,448.0,,3533,59,54822.0,38848.0,5.0
2020-09-09,22:01,111,Eswatini,1162430,4904,,96,,4059.0,,749.0,11.0,4219,83,30635.0,26354.0,5.0
2020-09-09,22:01,107,Hong Kong,7508518,4902,6.0,99,,4557.0,14.0,246.0,21.0,653,13,780415.0,103937.0,3.0
2020-09-09,22:01,112,Congo,5542789,4891,,114,,3887.0,,890.0,,882,21,,,5.0
2020-09-09,22:01,117,Slovakia,5460153,4888,161.0,37,,2947.0,34.0,1904.0,24.0,895,7,365945.0,67021.0,4.0
2020-09-09,22:01,110,Nicaragua,6639367,4818,,144,,2913.0,,1761.0,,726,22,,,1.0
