,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
130,2020-10-10,23:00,132.0,Syria,17614155.0,4673,57.0,221.0,3.0,1271.0,36.0,3181.0,,265.0,13.0,,,3.0
131,2020-10-10,23:00,121.0,Sri Lanka,21438025.0,4628,105.0,13.0,,3306.0,10.0,1309.0,,216.0,0.6,321009.0,14974.0,3.0
132,2020-10-10,23:00,153.0,Réunion,897067.0,4491,,16.0,,3994.0,,481.0,17.0,5006.0,18.0,35419.0,39483.0,5.0
133,2020-10-10,23:00,142.0,Aruba,106891.0,4188,21.0,32.0,,3753.0,35.0,403.0,12.0,39180.0,299.0,34305.0,320934.0,1.0
134,2020-10-10,23:00,120.0,Mayotte,274573.0,3989,,43.0,,2964.0,,982.0,4.0,14528.0,157.0,13000.0,47346.0,5.0
135,2020-10-10,23:00,119.0,Somalia,16010846.0,3847,102.0,99.0,,3079.0,69.0,669.0,,240.0,6.0,,,5.0
136,2020-10-10,23:00,129.0,Estonia,1326782.0,3846,37.0,68.0,,2946.0,40.0,832.0,3.0,2899.0,51.0,231400.0,174407.0,4.0
137,2020-10-10,23:00,140.0,Malta,441868.0,3681,100.0,41.0,,2937.0,22.0,703.0,9.0,8331.0,93.0,277626.0,628301.0,4.0
138,2020-10-10,23:00,116.0,Thailand,69848435.0,3634,6.0,59.0,,3445.0,4.0,130.0,1.0,52.0,0.8,749213.0,10726.0,3.0
139,2020-10-10,23:00,128.0,Gambia,2434672.0,3628,7.0,117.0,,2540.0,51.0,971.0,,1490.0,48.0,17926.0,7363.0,5.0
140,2020-10-10,23:00,135.0,Iceland,341852.0,3460,87.0,10.0,,2466.0,18.0,984.0,3.0,10121.0,29.0,306489.0,896555.0,4.0
141,2020-10-10,23:00,159.0,Guyana,787598.0,3358,,100.0,,2180.0,,1078.0,15.0,4264.0,127.0,15568.0,19766.0,2.0
142,2020-10-10,23:00,124.0,Mali,20405312.0,3273,25.0,132.0,1.0,2525.0,11.0,616.0,,160.0,6.0,59397.0,2911.0,5.0
143,2020-10-10,23:00,148.0,Botswana,2364394.0,3219,,18.0,,834.0,,2367.0,1.0,1361.0,8.0,224692.0,95032.0,5.0
144,2020-10-10,23:00,127.0,South Sudan,11229513.0,2761,,54.0,,1290.0,,1417.0,,246.0,5.0,12044.0,1073.0,5.0
145,2020-10-10,23:00,179.0,French Polynesia,281355.0,2754,,10.0,,2019.0,,725.0,7.0,9788.0,36.0,26355.0,93672.0,6.0
146,2020-10-10,23:00,154.0,Andorra,77299.0,2696,,55.0,,1814.0,,827.0,9.0,34878.0,712.0,137457.0,1778251.0,4.0
147,2020-10-10,23:00,147.0,Latvia,1880314.0,2596,89.0,40.0,,1322.0,,1234.0,4.0,1381.0,21.0,358498.0,190659.0,4.0
148,2020-10-10,23:00,164.0,Belize,399576.0,2427,54.0,35.0,1.0,1487.0,28.0,905.0,5.0,6074.0,88.0,17072.0,42725.0,1.0
149,2020-10-10,23:00,134.0,Benin,12207690.0,2411,,41.0,,1973.0,,397.0,,197.0,3.0,203831.0,16697.0,5.0
150,2020-10-10,23:00,131.0,Guinea-Bissau,1980433.0,2385,,40.0,,1728.0,,617.0,5.0,1204.0,20.0,,,5.0
