scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-09-29,21:35,1,USA,331478677,7378201,16590,210216,408,4630674,21038,2537311,14072,22258,634,105623211,318643,1.0
2020-09-29,21:35,3,India,1383308133,6219224,76205,97450,1099,5176371,77798,945403,8944,4496,70,73110041,52852,3.0
2020-09-29,21:35,2,Brazil,212929158,4753410,5083,142280,119,4084182,,526948,8318,22324,668,17900000,84066,2.0
2020-09-29,21:35,4,Russia,145949954,1167805,8232,20545,160,952399,6479,194861,2300,8001,141,45600000,312436,4.0
2020-09-29,21:35,8,Colombia,51014752,818203,,25641,,722536,,70026,2220,16039,503,3668126,71903,2.0
2020-09-29,21:35,6,Peru,33082847,808714,,32324,,670989,,105401,1354,24445,977,3865360,116839,2.0
2020-09-29,21:35,9,Spain,46759262,748266,,31411,,,,,1529,16003,672,12723989,272117,4.0
2020-09-29,21:35,7,Mexico,129262198,733717,3400,76603,173,527278,3447,129836,2334,5676,593,1918800,14844,1.0
2020-09-29,21:35,12,Argentina,45296882,723132,,16113,,576715,,130304,3678,15964,356,1926717,42535,2.0
2020-09-29,21:35,5,South Africa,59489841,671669,,16586,,604478,,50605,539,11290,279,4152480,69801,5.0
2020-09-29,21:35,19,France,65309161,550690,8051,31893,85,96327,901,422470,1204,8432,488,10806709,165470,4.0
2020-09-29,21:35,10,Chile,19156249,461300,1629,12725,27,434794,1778,13781,865,24081,664,3294806,171996,2.0
2020-09-29,21:35,11,Iran,84253298,453637,3677,25986,207,378727,2196,48924,4079,5384,308,3986720,47318,3.0
2020-09-29,21:35,13,UK,67973563,446156,7143,42072,71,,,,297,6564,619,24249112,356743,4.0
2020-09-29,21:35,15,Bangladesh,165088815,362043,1488,5219,26,273698,1625,83126,,2193,32,1934251,11716,3.0
2020-09-29,21:35,21,Iraq,40437045,358290,4724,9122,70,288812,4028,60356,559,8860,226,2244081,55496,3.0
2020-09-29,21:35,14,Saudi Arabia,34944484,334187,539,4739,27,318542,696,10906,1005,9563,136,6444173,184412,3.0
2020-09-29,21:35,18,Turkey,84559676,317272,1427,8130,68,278504,1452,30638,1583,3752,96,10268163,121431,3.0
2020-09-29,21:35,17,Italy,60439744,313011,1648,35875,24,226506,1316,50630,271,5179,594,11228358,185778,4.0
2020-09-29,21:35,16,Pakistan,221917981,311516,675,6474,8,296340,318,8702,419,1404,29,3482206,15691,3.0
2020-09-29,21:35,22,Philippines,109933944,309303,2025,5448,68,252930,290,50925,1758,2814,50,3680659,33481,3.0
2020-09-29,21:35,20,Germany,83849953,290198,1580,9553,8,254200,1800,26445,353,3461,114,15642654,186555,4.0
2020-09-29,21:35,23,Indonesia,274226946,282724,4002,10601,128,210437,3567,61686,,1031,39,3276402,11948,3.0
