,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,North America,"5,613,323","+24,565","221,496",+968,"2,895,525","+6,854","2,496,302","26,059",,
1,South America,"4,192,732","+2,004","145,644",+103,"2,839,117","+2,913","1,207,971","14,322",,
2,Asia,"4,422,098","+47,241","98,815",+719,"3,271,998","+33,536","1,051,285","19,080",,
3,Europe,"2,897,099","+11,532","203,786",+188,"1,748,058","+6,110","945,255","5,151",,
4,Africa,"949,993","+1,263","20,041",+23,"607,381","+1,061","322,571","1,135",,
5,Oceania,"19,709",+663,233,+7,"12,074",+218,"7,402",46,,
7,World,"18,095,675","+87,268","690,030","+2,008","11,374,804","+50,692","6,030,841","65,797","2,322",88.5
