Date,Scrap_time,Update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-10-15,14:09,11:06,1,North America,9780190,8688,330258,517.0,6476057,3612.0,2973875,18804
2020-10-15,14:09,11:06,3,Asia,12150954,26785,218199,534.0,10499348,21976.0,1433407,20839
2020-10-15,14:09,11:06,2,South America,8792296,219,274753,26.0,7715164,559.0,802379,17589
2020-10-15,14:09,11:06,4,Europe,6444047,48499,234940,614.0,3111436,16148.0,3097671,11564
2020-10-15,14:09,11:06,5,Africa,1612821,84,38896,,1330326,74.0,243599,1776
2020-10-15,14:09,11:06,6,Oceania,33446,19,951,,29937,,2558,10
2020-10-15,14:09,11:06,7,World,38814475,84294,1098012,1691.0,29162927,42369.0,8553536,70586
