Date,Scrap_time,Update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-08-02,20:00:00,,1,North America,5613323,,221496,,2895525,,2496302,26059
2020-08-08,20:00:00,,1,North America,6024082,410759.0,232657,11161.0,3205926,310401.0,2585499,25329
2020-08-12,20:00:00,,1,North America,6249979,225897.0,238804,6147.0,3375998,170072.0,2635177,24549
2020-08-16,20:00:00,,1,North America,6520423,270444.0,246720,7916.0,3559405,183407.0,2714298,24207
2020-08-17,20:00:00,,1,North America,6579716,59293.0,247676,956.0,3592208,32803.0,2739832,24086
2020-08-18,20:00:00,,1,North America,6632089,52373.0,248968,1292.0,3647264,55056.0,2735857,21931
2020-08-19,20:00:00,,1,North America,6672468,40379.0,250717,1749.0,3691569,44305.0,2730182,21711
2020-08-20,17:53:00,,1,North America,6732014,59546.0,252857,2140.0,3753183,61614.0,2725974,21511
2020-08-23,21:09:00,,1,North America,6918245,186231.0,258944,6087.0,3866228,113045.0,2793073,21330
2020-08-24,17:10:00,,1,North America,6946110,27865.0,259472,528.0,3887433,21205.0,2799205,21104
2020-08-25,23:00:00,,1,North America,7016056,69946.0,261158,1686.0,3961894,74461.0,2793004,20894
2020-08-26,22:59:00,,1,North America,7071458,55402.0,263270,2112.0,4007472,45578.0,2800716,21033
2020-08-27,23:00:00,,1,North America,7133435,61977.0,265227,1957.0,4077577,70105.0,2790631,20736
2020-08-28,23:01:00,,1,North America,7190233,56798.0,266969,1742.0,4114247,36670.0,2809017,20545
2020-08-29,12:29:00,,1,North America,7218370,28137.0,268103,1134.0,4140033,25786.0,2810234,20455
2020-08-30,23:00:00,,1,North America,7296024,77654.0,270014,1911.0,4188639,48606.0,2837371,20385
2020-08-31,18:58:00,,1,North America,7320778,24754.0,270678,664.0,4203671,15032.0,2846429,20079
2020-09-01,23:00:00,,1,North America,7392546,71768.0,272175,1497.0,4256035,52364.0,2864336,20009
2020-09-02,23:01:00,,1,North America,7444883,52337.0,274225,2050.0,4322564,66529.0,2848094,19402
2020-09-03,23:01:00,,1,North America,7488800,43917.0,275938,1713.0,4360406,37842.0,2852456,19315
2020-09-04,07:01:00,,1,North America,7516422,27622.0,277006,1068.0,4386808,26402.0,2852608,19116
2020-09-05,23:31:00,,1,North America,7615074,98652.0,279167,2161.0,4507289,120481.0,2828618,19259
2020-09-06,18:30:00,,1,North America,7639265,24191.0,280055,888.0,4534410,27121.0,2824800,18998
2020-09-07,23:39:00,,1,North America,7693515,54250.0,280916,861.0,4575042,40632.0,2837557,18672
2020-09-08,22:10:00,,1,North America,7717827,24312.0,281531,615.0,4617403,42361.0,2818893,18454
2020-09-09,22:01:00,,1,North America,7760913,43086.0,283233,1702.0,4668386,50983.0,2809294,18538
2020-09-10,22:01:00,,1,North America,7803202,42289.0,285068,1835.0,4716815,48429.0,2801319,18549
2020-09-11,22:00:00,,1,North America,7862246,59044.0,286748,1680.0,4753841,37026.0,2821657,18440
