Date,Scrap_time,Update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-11-16,23:00,20:59,1,North America,13507569,151778.0,377772,954.0,8501170,60956.0,4628627,24665
2020-11-16,23:00,20:59,3,Asia,15161166,81964.0,267711,1486.0,13537326,76057.0,1356129,24785
2020-11-16,23:00,20:59,2,South America,10361280,31661.0,310102,622.0,9340446,21845.0,710732,17453
2020-11-16,23:00,20:59,4,Europe,14151087,216260.0,325964,3722.0,5253183,90425.0,8571940,29786
2020-11-16,23:00,20:59,5,Africa,1996246,9225.0,47700,278.0,1678905,11588.0,269641,2575
2020-11-16,23:00,20:59,6,Oceania,42143,24.0,994,0.0,32911,8.0,8238,26
2020-11-16,23:00,20:59,7,World,55220212,490912.0,1330258,7062.0,38344600,260879.0,15545354,99294
