Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id,scrap_date,scrap_time
1,USA,"331,425,744","6,948,843","22,902","203,482",315,"4,202,422","10,528","2,542,939","14,156","20,967",614,"96,660,894","291,652",1,19/09/2020,21:00
3,India,"1,382,937,730","5,369,293","63,818","86,229",604,"4,268,128","62,927","1,014,936","8,944","3,883",62,"62,454,254","45,161",3,19/09/2020,21:00
2,Brazil,"212,887,938","4,503,002","5,568","136,035",178,"3,789,139",,"577,828","8,318","21,152",639,"14,617,980","68,665",2,19/09/2020,21:00
4,Russia,"145,948,250","1,097,251","6,065","19,339",144,"906,462","5,255","171,450","2,300","7,518",133,"42,400,000","290,514",4,19/09/2020,21:00
6,Peru,"33,070,295","756,412",,"31,283",,"600,795",,"124,334","1,449","22,873",946,"3,640,863","110,095",2,19/09/2020,21:00
8,Colombia,"50,999,943","750,471",,"23,850",,"621,521",,"105,100",863,"14,715",468,"3,332,152","65,336",2,19/09/2020,21:00
7,Mexico,"129,225,210","688,954","4,841","72,803",624,"492,192","3,776","123,959","2,657","5,331",563,"1,565,452","12,114",1,19/09/2020,21:00
9,Spain,"46,758,769","659,334",,"30,495",,,,,"1,345","14,101",652,"10,756,835","230,050",4,19/09/2020,21:00
5,South Africa,"59,469,412","657,627",,"15,857",,"586,844",,"54,926",539,"11,058",267,"4,003,590","67,322",5,19/09/2020,21:00
12,Argentina,"45,285,561","613,658",,"12,705",49,"478,077","10,791","122,876","3,225","13,551",281,"1,707,947","37,715",2,19/09/2020,21:00
10,Chile,"19,151,770","444,674","1,847","12,254",55,"418,101","2,120","14,319",894,"23,218",640,"3,010,713","157,203",2,19/09/2020,21:00
19,France,"65,305,226","442,194","13,498","31,274",26,"91,574",,"319,346",827,"6,771",479,"10,000,000","153,127",4,19/09/2020,21:00
11,Iran,"84,223,925","419,043","2,845","24,118",166,"357,632","2,127","37,293","3,893","4,975",286,"3,719,210","44,159",3,19/09/2020,21:00
13,UK,"67,963,840","390,358","4,422","41,759",27,,,,138,"5,744",614,"21,368,297","314,407",4,19/09/2020,21:00
15,Bangladesh,"165,044,020","347,372","1,567","4,913",32,"254,386","2,051","88,073",,"2,105",30,"1,809,679","10,965",3,19/09/2020,21:00
14,Saudi Arabia,"34,929,660","329,271",551,"4,458",28,"309,430","1,078","15,383","1,166","9,427",128,"6,009,916","172,058",3,19/09/2020,21:00
21,Iraq,"40,412,324","315,597","3,907","8,491",83,"249,539","4,234","57,567",536,"7,809",210,"2,039,024","50,455",3,19/09/2020,21:00
16,Pakistan,"221,800,598","305,031",645,"6,415",7,"292,044",361,"6,572",562,"1,375",29,"3,126,380","14,095",3,19/09/2020,21:00
18,Turkey,"84,534,894","301,348","1,538","7,445",68,"266,117","1,312","27,786","1,432","3,565",88,"9,173,694","108,520",3,19/09/2020,21:00
17,Italy,"60,442,164","296,569","1,638","35,692",24,"217,716",909,"43,161",215,"4,907",591,"10,349,386","171,228",4,19/09/2020,21:00
22,Philippines,"109,894,090","283,460","3,962","4,930",100,"209,885","1,128","68,645","1,048","2,579",45,"3,330,409","30,306",3,19/09/2020,21:00
20,Germany,"83,842,653","271,840",596,"9,466",2,"243,000",,"19,374",246,"3,242",113,"14,557,136","173,624",4,19/09/2020,21:00
23,Indonesia,"274,147,968","240,687","4,168","9,448",112,"174,350","3,576","56,889",,878,34,"2,885,895","10,527",3,19/09/2020,21:00
30,Israel,"9,197,590","183,602","4,531","1,226",30,"132,449","2,425","49,927",604,"19,962",133,"3,032,739","329,732",3,19/09/2020,21:00
28,Ukraine,"43,675,152","172,712","3,240","3,516",48,"76,754","1,268","92,442",177,"3,954",81,"1,985,802","45,468",4,19/09/2020,21:00
24,Canada,"37,813,858","142,745",834,"9,211",6,"124,172",449,"9,362",82,"3,775",244,"6,489,802","171,625",1,19/09/2020,21:00
26,Bolivia,"11,707,169","130,051",632,"7,550",39,"88,457",741,"34,044",71,"11,109",645,"285,256","24,366",2,19/09/2020,21:00
27,Ecuador,"17,700,318","125,620","1,491","11,084",40,"97,063",,"17,473",379,"7,097",626,"384,106","21,701",2,19/09/2020,21:00
25,Qatar,"2,807,805","123,146",229,209,,"120,089",267,"2,848",58,"43,858",74,"719,057","256,092",3,19/09/2020,21:00
38,Romania,"19,209,029","111,550","1,333","4,402",42,"89,119",884,"18,029",461,"5,807",229,"2,210,071","115,054",4,19/09/2020,21:00
32,Dominican Republic,"10,871,419","107,700",968,"2,044",10,"80,820",641,"24,836",210,"9,907",188,"442,354","40,690",1,19/09/2020,21:00
29,Kazakhstan,"18,825,047","107,199",65,"1,671",,"101,822",212,"3,706",221,"5,694",89,"2,733,455","145,203",3,19/09/2020,21:00
34,Panama,"4,329,267","104,879",,"2,229",,"79,093",,"23,557",156,"24,226",515,"423,054","97,720",1,19/09/2020,21:00
31,Egypt,"102,743,630","101,772",,"5,733",,"87,958",,"8,081",41,991,56,"135,000","1,314",5,19/09/2020,21:00
49,Morocco,"37,004,745","99,816","2,552","1,795",40,"79,008","2,318","19,013",264,"2,697",49,"2,342,307","63,297",5,19/09/2020,21:00
36,Belgium,"11,600,651","99,649","1,673","9,937",1,"18,908",54,"70,804",78,"8,590",857,"2,814,376","242,605",4,19/09/2020,21:00
37,Kuwait,"4,284,082","99,049",521,581,1,"89,498",722,"8,970",96,"23,120",136,"705,029","164,569",3,19/09/2020,21:00
42,Netherlands,"17,143,197","91,934","1,887","6,275",2,,,,64,"5,363",366,"2,042,887","119,166",4,19/09/2020,21:00
35,Oman,"5,133,754","91,753",,818,,"84,648",,"6,287",180,"17,872",159,"309,212","60,231",3,19/09/2020,21:00
33,Sweden,"10,112,981","88,237",,"5,865",,,,,15,"8,725",580,"1,393,161","137,760",4,19/09/2020,21:00
40,Guatemala,"17,985,890","84,344",,"3,076",,"73,748",,"7,520",5,"4,689",171,"286,730","15,942",1,19/09/2020,21:00
41,UAE,"9,916,115","84,242",809,404,1,"73,512",722,"10,326",,"8,495",41,"8,665,567","873,887",3,19/09/2020,21:00
43,Poland,"37,837,450","78,330","1,002","2,282",12,"63,861",549,"12,187",83,"2,070",60,"3,081,867","81,450",4,19/09/2020,21:00
44,Japan,"126,390,571","77,494",,"1,482",,"69,899",,"6,113",170,613,12,"1,811,516","14,333",3,19/09/2020,21:00
39,Belarus,"9,448,637","75,461",231,776,3,"73,212",114,"1,473",,"7,986",82,"1,715,380","181,548",4,19/09/2020,21:00
47,Honduras,"9,938,225","70,611",491,"2,146",24,"21,149",472,"47,316",27,"7,105",216,"167,103","16,814",1,19/09/2020,21:00
56,Ethiopia,"115,559,308","68,131",616,"1,089",17,"27,939",301,"39,103",294,590,9,"1,194,795","10,339",5,19/09/2020,21:00
46,Portugal,"10,190,115","68,025",849,"1,899",5,"45,404",351,"20,722",64,"6,676",186,"2,345,680","230,192",4,19/09/2020,21:00
57,Venezuela,"28,418,075","65,174",,530,,"54,218",,"10,426",146,"2,293",19,"1,897,741","66,779",2,19/09/2020,21:00
50,Bahrain,"1,713,657","63,879",,221,1,"56,700",,"6,958",42,"37,276",129,"1,313,471","766,473",3,19/09/2020,21:00
64,Nepal,"29,248,135","62,797","1,204",401,11,"45,267","1,447","17,129",,"2,147",14,"904,706","30,932",3,19/09/2020,21:00
61,Costa Rica,"5,104,190","62,374",,686,,"23,160",,"38,528",245,"12,220",134,"196,377","38,474",1,19/09/2020,21:00
45,Singapore,"5,860,330","57,558",15,27,,"57,142",71,389,,"9,822",5,"2,498,073","426,268",3,19/09/2020,21:00
48,Nigeria,"207,208,375","56,956",,"1,094",,"48,305",,"7,557",7,275,5,"482,321","2,328",5,19/09/2020,21:00
58,Uzbekistan,"33,573,038","50,872",619,425,6,"47,121",594,"3,326",243,"1,515",13,"1,377,915","41,042",3,19/09/2020,21:00
54,Algeria,"44,019,230","49,623",210,"1,665",6,"34,923",105,"13,035",31,"1,127",38,,,5,19/09/2020,21:00
55,Switzerland,"8,668,377","49,283",,"2,045",,"40,500",,"6,738",29,"5,685",236,"1,251,614","144,389",4,19/09/2020,21:00
70,Czechia,"10,713,347","47,285","1,023",499,4,"24,018",160,"22,768",91,"4,414",47,"1,170,742","109,279",4,19/09/2020,21:00
53,Armenia,"2,964,460","47,154",244,928,2,"42,551",182,"3,675",,"15,906",313,"259,664","87,592",3,19/09/2020,21:00
62,Moldova,"4,031,886","46,336",688,"1,201",15,"34,236",502,"10,899",549,"11,492",298,"246,764","61,203",4,19/09/2020,21:00
51,Ghana,"31,209,840","45,877",117,297,2,"45,081",108,499,5,"1,470",10,"466,845","14,958",5,19/09/2020,21:00
52,Kyrgyzstan,"6,547,136","45,335",91,"1,063",,"41,484",69,"2,788",24,"6,924",162,"267,718","40,891",3,19/09/2020,21:00
60,Azerbaijan,"10,158,969","39,042",148,574,2,"36,601",177,"1,867",,"3,843",57,"1,047,906","103,151",3,19/09/2020,21:00
59,Afghanistan,"39,112,699","38,919",36,"1,437",,"32,576",,"4,906",93,995,37,"108,193","2,766",3,19/09/2020,21:00
