Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id,scrap_date,scrap_time
67,Austria,"9,017,603","37,474",813,765,2,"28,961",510,"7,748",84,"4,156",85,"1,432,099","158,811",4,19/09/2020,21:00
63,Kenya,"54,020,637","36,829",105,646,,"23,777",68,"12,406",44,682,12,"504,988","9,348",5,19/09/2020,21:00
71,Palestine,"5,126,309","35,003",602,253,3,"23,446",113,"11,304",,"6,828",49,"359,873","70,201",3,19/09/2020,21:00
65,Serbia,"8,729,549","32,840",83,740,1,"31,411",,689,23,"3,762",85,"1,069,626","122,529",4,19/09/2020,21:00
66,Ireland,"4,949,677","32,538",267,"1,792",,"23,364",,"7,382",14,"6,574",362,"1,030,817","208,259",4,19/09/2020,21:00
80,Paraguay,"7,151,382","32,127",,611,,"16,921",,"14,595",143,"4,492",85,"245,271","34,297",2,19/09/2020,21:00
83,Lebanon,"6,818,646","28,297",779,286,5,"11,440",701,"16,571",124,"4,150",42,"713,366","104,620",3,19/09/2020,21:00
69,El Salvador,"6,493,351","27,428",82,808,4,"21,247",422,"5,373",92,"4,224",124,"362,029","55,754",1,19/09/2020,21:00
85,Libya,"6,891,332","27,234",796,436,18,"14,679",472,"12,119",,"3,952",63,"179,696","26,076",5,19/09/2020,21:00
68,Australia,"25,563,612","26,885",24,844,7,"23,962",107,"2,079",12,"1,052",33,"7,261,973","284,075",,19/09/2020,21:00
73,Bosnia and Herzegovina,"3,276,265","25,217",320,758,6,"17,489",124,"6,970",,"7,697",231,"220,278","67,234",4,19/09/2020,21:00
74,S. Korea,"51,278,899","22,893",110,378,1,"19,970",199,"2,545",152,446,7,"2,219,162","43,276",3,19/09/2020,21:00
76,Denmark,"5,796,669","22,436",589,635,,"17,316",206,"4,485",4,"3,870",110,"3,300,734","569,419",4,19/09/2020,21:00
72,Cameroon,"26,684,058","20,431",60,416,,"19,124",,891,30,766,16,"149,000","5,584",5,19/09/2020,21:00
75,Ivory Coast,"26,514,923","19,200",,120,,"18,392",,688,,724,5,"148,957","5,618",5,19/09/2020,21:00
77,Bulgaria,"6,936,744","18,733",,753,,"13,510",,"4,470",34,"2,701",109,"488,865","70,475",4,19/09/2020,21:00
105,Hungary,"9,654,915","16,920",809,675,6,"4,382",142,"11,863",30,"1,752",70,"604,122","62,571",4,19/09/2020,21:00
79,North Macedonia,"2,083,355","16,557",140,689,6,"13,792",60,"2,076",4,"7,947",331,"174,097","83,566",4,19/09/2020,21:00
78,Madagascar,"27,839,617","16,020",49,219,2,"14,630",43,"1,171",37,575,8,"67,031","2,408",5,19/09/2020,21:00
92,Greece,"10,411,721","14,978",240,331,4,"9,989","6,185","4,658",65,"1,439",32,"1,194,013","114,680",4,19/09/2020,21:00
97,Croatia,"4,099,618","14,725",212,244,,"12,353",184,"2,128",24,"3,592",60,"254,480","62,074",4,19/09/2020,21:00
81,Senegal,"16,835,894","14,688",43,302,1,"11,153",102,"3,233",27,872,18,"165,299","9,818",5,19/09/2020,21:00
84,Zambia,"18,490,851","14,022",,329,,"13,207",,486,,758,18,"137,017","7,410",5,19/09/2020,21:00
82,Sudan,"44,064,138","13,535",,836,,"6,759",,"5,940",,307,19,,,5,19/09/2020,21:00
86,Norway,"5,430,444","12,820",51,267,,"10,371",,"2,182",2,"2,361",49,"940,722","173,231",4,19/09/2020,21:00
94,Albania,"2,877,103","12,226",153,358,5,"6,888",57,"4,980",13,"4,249",124,"74,487","25,890",4,19/09/2020,21:00
87,DRC,"90,123,522","10,488",32,268,,"9,891",28,329,,116,3,,,5,19/09/2020,21:00
102,Namibia,"2,550,678","10,292",85,111,3,"7,969",22,"2,212",13,"4,035",44,"87,639","34,359",5,19/09/2020,21:00
89,Guinea,"13,206,908","10,231",,63,,"9,660",,508,24,775,5,"30,764","2,329",5,19/09/2020,21:00
88,Malaysia,"32,455,091","10,167",20,130,1,"9,315",51,722,12,313,4,"1,417,154","43,665",3,19/09/2020,21:00
90,French Guiana,"300,297","9,659",,65,,"9,298",,296,4,"32,165",216,"62,400","207,794",2,19/09/2020,21:00
100,Maldives,"542,568","9,649",81,33,,"8,188",111,"1,428",12,"17,784",61,"138,608","255,467",3,19/09/2020,21:00
93,Tajikistan,"9,582,698","9,303",44,73,,"8,066",40,"1,164",,971,8,,,3,19/09/2020,21:00
123,Tunisia,"11,845,320","9,110",540,138,5,"2,366",24,"6,606",47,769,12,"190,241","16,060",5,19/09/2020,21:00
96,Finland,"5,542,612","8,922",64,339,,"7,700",,883,3,"1,610",61,"878,728","158,540",4,19/09/2020,21:00
91,Gabon,"2,236,750","8,696",,53,,"7,848",,795,5,"3,888",24,"147,678","66,023",5,19/09/2020,21:00
95,Haiti,"11,432,431","8,600",,221,,"6,363",,"2,016",,752,19,"25,752","2,253",1,19/09/2020,21:00
98,Luxembourg,"628,150","7,718",,124,,"6,703",,891,1,"12,287",197,"771,950","1,228,926",4,19/09/2020,21:00
109,Montenegro,"628,084","7,711",,133,,"4,997",,"2,581",,"12,277",212,"60,669","96,594",4,19/09/2020,21:00
101,Zimbabwe,"14,909,233","7,647",,224,,"5,883",,"1,540",,513,15,"157,144","10,540",5,19/09/2020,21:00
99,Mauritania,"4,675,136","7,361",,161,,"6,882",,318,3,"1,574",34,"77,592","16,597",5,19/09/2020,21:00
117,Slovakia,"5,460,225","6,546",290,39,,"3,519",129,"2,988",22,"1,199",7,"408,805","74,870",4,19/09/2020,21:00
118,Mozambique,"31,437,240","6,537",273,41,1,"3,620",118,"2,876",,208,1,"123,212","3,919",5,19/09/2020,21:00
130,Uganda,"46,038,385","6,017",423,63,2,"2,581",37,"3,373",,131,1,"444,346","9,652",5,19/09/2020,21:00
103,Malawi,"19,233,106","5,718",2,179,,"4,030",4,"1,509",4,297,9,"50,051","2,602",5,19/09/2020,21:00
104,Djibouti,"991,075","5,403",,61,,"5,333",,9,,"5,452",62,"73,804","74,469",5,19/09/2020,21:00
111,Eswatini,"1,162,758","5,215",,103,,"4,478",,634,11,"4,485",89,"31,766","27,320",5,19/09/2020,21:00
115,Cabo Verde,"557,290","5,141",,50,,"4,548",,543,,"9,225",90,"76,576","137,408",5,19/09/2020,21:00
113,Cuba,"11,325,090","5,055",51,113,2,"4,284",35,658,18,446,10,"531,928","46,969",1,19/09/2020,21:00
107,Hong Kong,"7,510,178","5,010",13,103,,"4,707",11,200,13,667,14,"2,783,134","370,582",3,19/09/2020,21:00
106,Equatorial Guinea,"1,412,445","5,002",,83,,"4,509",,410,,"3,541",59,"57,119","40,440",5,19/09/2020,21:00
112,Congo,"5,546,511","4,986",6,89,,"3,887",,"1,010",,899,16,,,5,19/09/2020,21:00
110,Nicaragua,"6,641,520","4,961",,147,,"2,913",,"1,901",,747,22,,,1,19/09/2020,21:00
168,Myanmar,"54,489,172","4,870",403,81,11,"1,188",58,"3,601",,89,1,"212,826","3,906",3,19/09/2020,21:00
108,CAR,"4,847,629","4,786",,62,,"1,830",,"2,894",2,987,13,"31,723","6,544",5,19/09/2020,21:00
145,Jamaica,"2,963,993","4,758",187,60,5,"1,327",63,"3,371",9,"1,605",20,"71,693","24,188",1,19/09/2020,21:00
114,Suriname,"587,770","4,691",,96,,"4,280",,315,7,"7,981",163,"12,643","21,510",2,19/09/2020,21:00
122,Rwanda,"13,019,382","4,671",,25,,"2,845",,"1,801",,359,2,"471,767","36,236",5,19/09/2020,21:00
141,Jordan,"10,225,029","4,540",196,30,1,"2,672",161,"1,838",13,444,3,"1,057,184","103,392",3,19/09/2020,21:00
126,Slovenia,"2,079,001","4,309",114,141,1,"2,981",42,"1,187",18,"2,073",68,"199,408","95,915",4,19/09/2020,21:00
133,Angola,"33,076,979","3,848",,147,,"1,443",,"2,258",16,116,4,"65,951","1,994",5,19/09/2020,21:00
158,Trinidad and Tobago,"1,400,481","3,739",88,60,,"1,586",,"2,093",6,"2,670",43,"28,774","20,546",1,19/09/2020,21:00
132,Syria,"17,589,692","3,731",,168,,918,,"2,645",,212,10,,,3,19/09/2020,21:00
125,Lithuania,"2,713,692","3,664",99,87,,"2,197",16,"1,380",,"1,350",32,"722,897","266,389",4,19/09/2020,21:00
120,Mayotte,"274,194","3,541",,40,,"2,964",,537,2,"12,914",146,"13,000","47,412",5,19/09/2020,21:00
128,Gambia,"2,430,761","3,504",19,108,,"1,992",19,"1,404",,"1,442",44,"14,749","6,068",5,19/09/2020,21:00
116,Thailand,"69,838,414","3,500",3,59,1,"3,338",10,103,1,50,0.8,"749,213","10,728",3,19/09/2020,21:00
142,Aruba,"106,865","3,460",,23,,"2,128",,"1,309",11,"32,377",215,"27,760","259,767",1,19/09/2020,21:00
161,Guadeloupe,"400,139","3,426",,26,,837,,"2,563",28,"8,562",65,"38,505","96,229",1,19/09/2020,21:00
119,Somalia,"15,985,307","3,401",11,98,,"2,812",,491,,213,6,,,5,19/09/2020,21:00
146,Georgia,"3,987,472","3,306",187,19,,"1,481",46,"1,806",,829,5,"529,121","132,696",3,19/09/2020,21:00
121,Sri Lanka,"21,432,886","3,283",2,13,,"3,070",10,200,,153,0.6,"266,057","12,413",3,19/09/2020,21:00
153,Réunion,"896,701","3,194",,15,,"1,794",,"1,385",,"3,562",17,"35,419","39,499",5,19/09/2020,21:00
138,Bahamas,"394,057","3,177",,69,,"1,626",,"1,482",65,"8,062",175,"16,386","41,583",1,19/09/2020,21:00
124,Mali,"20,371,708","2,991",,128,,"2,332",,531,,147,6,"48,068","2,360",5,19/09/2020,21:00
129,Estonia,"1,326,731","2,875",61,64,,"2,374",17,437,3,"2,167",48,"185,827","140,064",4,19/09/2020,21:00
140,Malta,"441,801","2,699",65,19,2,"2,017",21,663,2,"6,109",43,"229,252","518,903",4,19/09/2020,21:00
127,South Sudan,"11,221,985","2,642",33,49,,"1,290",,"1,303",,235,4,"12,044","1,073",5,19/09/2020,21:00
148,Botswana,"2,361,664","2,567",,13,,624,,"1,930",1,"1,087",6,"156,054","66,078",5,19/09/2020,21:00
135,Iceland,"341,725","2,307",77,10,,"2,116",4,181,,"6,751",29,"246,791","722,192",4,19/09/2020,21:00
131,Guinea-Bissau,"1,977,757","2,303",,39,,"1,127",,"1,137",5,"1,164",20,,,5,19/09/2020,21:00
134,Benin,"12,189,409","2,280",,40,,"1,950",,290,,187,3,"169,063","13,870",5,19/09/2020,21:00
136,Sierra Leone,"8,011,263","2,159",6,72,,"1,650",1,437,,269,9,,,5,19/09/2020,21:00
159,Guyana,"787,381","2,102",,62,,"1,314",,726,16,"2,670",79,"11,771","14,950",2,19/09/2020,21:00
137,Yemen,"29,964,251","2,026",2,585,,"1,221",,220,,68,20,,,3,19/09/2020,21:00
143,Uruguay,"3,476,367","1,890",,46,,"1,603",,241,,544,13,"210,199","60,465",2,19/09/2020,21:00
139,New Zealand,"5,002,100","1,811",2,25,,"1,719",5,67,4,362,5,"905,436","181,011",,19/09/2020,21:00
149,Burkina Faso,"21,022,443","1,797",,56,,"1,173",,568,,85,3,,,5,19/09/2020,21:00
151,Togo,"8,319,439","1,640",,41,,"1,251",,348,,197,5,"81,514","9,798",5,19/09/2020,21:00
164,Belize,"399,161","1,590",23,20,1,812,70,758,3,"3,983",50,"12,429","31,138",1,19/09/2020,21:00
144,Cyprus,"1,209,269","1,580",15,22,,"1,282",,276,2,"1,307",18,"344,831","285,157",3,19/09/2020,21:00
154,Andorra,"77,292","1,564",,53,,"1,164",,347,4,"20,235",686,"137,457","1,778,412",4,19/09/2020,21:00
147,Latvia,"1,881,503","1,515",17,36,,"1,248",,231,,805,19,"293,309","155,891",4,19/09/2020,21:00
156,Lesotho,"2,145,935","1,390",,33,,754,,603,,648,15,"17,631","8,216",5,19/09/2020,21:00
150,Liberia,"5,082,622","1,335",1,82,,"1,216",2,37,,263,16,,,5,19/09/2020,21:00
179,French Polynesia,"281,262","1,209",98,2,,966,93,241,4,"4,298",7,"20,484","72,829",,19/09/2020,21:00
152,Niger,"24,385,008","1,183",,69,,"1,104",,10,,49,3,"19,989",820,5,19/09/2020,21:00
157,Chad,"16,523,566","1,147",,81,,966,,100,,69,5,,,5,19/09/2020,21:00
177,Martinique,"375,201","1,122",,18,,98,,"1,006",5,"2,990",48,"19,534","52,063",1,19/09/2020,21:00
155,Vietnam,"97,528,261","1,068",,35,,942,1,91,,11,0.4,"1,009,145","10,347",3,19/09/2020,21:00
160,Sao Tome and Principe,"220,022",908,,15,,873,,20,,"4,127",68,"4,523","20,557",5,19/09/2020,21:00
163,San Marino,"33,947",723,,42,,669,,12,3,"21,298","1,237","7,470","220,049",4,19/09/2020,21:00
162,Diamond Princess,,712,,13,,651,,48,4,,,,,,19/09/2020,21:00
172,Turks and Caicos,"38,829",667,4,5,,567,2,95,3,"17,178",129,"3,009","77,494",1,19/09/2020,21:00
165,Channel Islands,"174,210",644,,48,,575,,21,2,"3,697",276,"117,227","672,906",4,19/09/2020,21:00
173,Sint Maarten,"42,981",574,9,20,1,488,11,66,6,"13,355",465,"2,720","63,284",1,19/09/2020,21:00
174,Papua New Guinea,"8,982,951",516,,6,,232,,278,,57,0.7,"17,276","1,923",,19/09/2020,21:00
166,Tanzania,"60,087,077",509,,21,,183,,305,7,8,0.3,,,5,19/09/2020,21:00
167,Taiwan,"23,826,248",506,3,7,,479,1,20,,21,0.3,"91,457","3,838",3,19/09/2020,21:00
169,Burundi,"11,964,003",473,,1,,374,,98,,40,0.08,"27,836","2,327",5,19/09/2020,21:00
170,Comoros,"873,507",470,,7,,449,,14,,538,8,,,5,19/09/2020,21:00
171,Faeroe Islands,"48,904",431,1,,,412,,19,,"8,813",,"114,435","2,339,993",4,19/09/2020,21:00
175,Mauritius,"1,272,232",366,,10,,338,,18,,288,8,"239,204","188,019",5,19/09/2020,21:00
178,Eritrea,"3,556,943",364,,,,305,,59,,102,,,,5,19/09/2020,21:00
182,Gibraltar,"33,689",350,4,,,322,7,28,,"10,389",,"42,247","1,254,030",4,19/09/2020,21:00
176,Isle of Man,"85,131",339,,24,,312,,3,,"3,982",282,"11,572","135,932",4,19/09/2020,21:00
184,Saint Martin,"38,806",330,,6,,206,,118,11,"8,504",155,"2,968","76,483",1,19/09/2020,21:00
180,Mongolia,"3,289,552",311,,,,302,,9,1,95,,"64,396","19,576",3,19/09/2020,21:00
181,Cambodia,"16,768,566",275,,,,274,,1,,16,,"122,693","7,317",3,19/09/2020,21:00
187,Bhutan,"773,440",258,6,,,186,4,72,,334,,"123,678","159,906",3,19/09/2020,21:00
195,Curaçao,"164,240",228,,1,,83,,144,1,"1,388",6,"1,080","6,576",1,19/09/2020,21:00
183,Cayman Islands,"65,888",208,,1,,204,,3,,"3,157",15,"37,425","568,009",1,19/09/2020,21:00
188,Monaco,"39,302",191,,1,,152,,38,1,"4,860",25,"51,953","1,321,892",4,19/09/2020,21:00
186,Barbados,"287,452",185,,7,,172,,6,,644,24,"21,069","73,296",1,19/09/2020,21:00
185,Bermuda,"62,227",178,,9,,164,,5,,"2,860",145,"56,728","911,630",1,19/09/2020,21:00
189,Brunei,"438,385",145,,3,,142,1,0,,331,7,"56,076","127,915",3,19/09/2020,21:00
190,Seychelles,"98,480",141,,,,136,,5,,"1,432",,"5,200","52,803",5,19/09/2020,21:00
191,Liechtenstein,"38,152",113,1,1,,109,1,3,,"2,962",26,900,"23,590",4,19/09/2020,21:00
192,Antigua and Barbuda,"98,105",95,,3,,92,,0,,968,31,"2,332","23,770",1,19/09/2020,21:00
202,British Virgin Islands,"30,275",69,,1,,48,,20,2,"2,279",33,"4,410","145,665",1,19/09/2020,21:00
193,St. Vincent Grenadines,"111,017",64,,,,64,,0,,576,,"4,621","41,624",1,19/09/2020,21:00
194,Macao,"651,233",46,,,,46,,0,,71,,"4,238","6,508",3,19/09/2020,21:00
208,Caribbean Netherlands,"26,276",36,,1,,17,,18,,"1,370",38,"1,516","57,695",1,19/09/2020,21:00
196,Fiji,"897,857",32,,2,,26,,4,1,36,2,"9,570","10,659",,19/09/2020,21:00
197,Saint Lucia,"183,810",27,,,,26,,1,,147,,"7,616","41,434",1,19/09/2020,21:00
198,Timor-Leste,"1,323,767",27,,,,26,,1,,20,,"5,146","3,887",3,19/09/2020,21:00
200,New Caledonia,"286,092",26,,,,26,,0,,91,,"13,463","47,058",,19/09/2020,21:00
203,Dominica,"72,025",24,,,,18,,6,,333,,"2,077","28,837",1,19/09/2020,21:00
199,Grenada,"112,637",24,,,,24,,0,,213,,"6,252","55,506",1,19/09/2020,21:00
201,Laos,"7,298,159",23,,,,22,,1,,3,,"46,070","6,313",3,19/09/2020,21:00
205,St. Barth,"9,884",23,,,,16,,7,,"2,327",,"2,075","209,935",1,19/09/2020,21:00
204,Saint Kitts and Nevis,"53,281",17,,,,17,,0,,319,,"2,138","40,127",1,19/09/2020,21:00
206,Greenland,"56,792",14,,,,14,,0,,247,,"7,421","130,670",1,19/09/2020,21:00
207,Montserrat,"4,993",13,,1,,12,,0,,"2,604",200,373,"74,705",1,19/09/2020,21:00
209,Falkland Islands,"3,501",13,,,,13,,0,,"3,713",,"2,261","645,815",2,19/09/2020,21:00
210,Vatican City,801,12,,,,12,,0,,"14,981",,,,4,19/09/2020,21:00
213,Saint Pierre Miquelon,"5,788",11,,,,5,,6,,"1,900",,"1,051","181,583",1,19/09/2020,21:00
211,Western Sahara,"600,413",10,,1,,8,,1,,17,2,,,5,19/09/2020,21:00
212,MS Zaandam,,9,,2,,,,7,,,,,,,19/09/2020,21:00
214,Anguilla,"15,032",3,,,,3,,0,,200,,"1,020","67,855",1,19/09/2020,21:00
215,China,"1,439,323,776","85,269",14,"4,634",,"80,464",8,171,3,59,3,"160,000,000","111,163",3,19/09/2020,21:00
