,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,North America,"6,672,468","+6,785","250,717",+787,"3,691,569","+4,866","2,730,182","21,711",,
1,South America,"5,411,507","+1,796","179,797",+49,"3,995,108","+1,152","1,236,602","14,908",,
2,Asia,"5,849,583","+18,247","123,575",+292,"4,564,561","+13,579","1,161,447","18,918",,
3,Europe,"3,233,156","+10,146","203,931",+215,"1,938,543","+9,741","1,090,682","5,246",,
4,Africa,"1,141,062",+287,"26,365",+8,"862,878",+314,"251,819","1,209",,
5,Oceania,"26,251",+226,476,+12,"16,997",+317,"8,778",59,,
7,World,"22,334,748","+37,487","784,876","+1,363","15,070,307","+29,969","6,479,565","62,055","2,865",100.7
